chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,0,1,0,NNP,mr,,,,,,,,,,,,,,,,,5.26,-1.1062210189313129
1,0,1,1,NNP,sherlock,,,,,,,,,,,,,,,,,,
1,0,1,2,NNP,holmes,,,,,,,,,,,,,,,,,5.48,-0.903438224475054
1,1,0,0,NNP,mr,,,,,,,,,,,,,,,,,5.26,-1.1062210189313129
1,1,0,1,NNP,sherlock,,,,,,,,,,,,,,,,,,
1,1,0,2,NNP,holmes,,,,,,,,,,,,,,,,,5.48,-0.903438224475054
1,1,0,3,WP,who,,,,,,,,,,,,,,,,,5.06,-1.290569013891548
1,1,0,4,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,0,5,RB,usually,,,,,,,,,,,,,,,,,5.66,-0.7375250290108428
1,1,0,6,RB,very,,,,,,,,,,,,,,,,,6.12,-0.3135246406023025
1,1,0,7,RB,late,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,,,,-0.25,,3.46,-2.7653529735734272
1,1,0,8,IN,in,,,,,,,,,,,,,,,,,5.5,-0.8850034249790308
1,1,0,9,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,10,NN,mornings,,,,,,,,,,,,,,,,,6.32,-0.1291766456420674
1,1,0,11,VBP,save,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,0.5,1.0,6.54,0.0736061488141908
1,1,0,12,IN,upon,,,,,,,,,,,,,,,,,5.34,-1.0324818209472189
1,1,0,13,DT,those,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,0,14,RB,not,,,,,,,,,,,,,,,,,3.86,-2.396656983652957
1,1,0,15,JJ,infrequent,,,,,,,,,,,,,,,,,,
1,1,0,16,NNS,occasions,,,,,,,,,,,,,,,,,6.18,-0.2582202421142324
1,1,0,17,WRB,when,,,,,,,,,,,,,,,,,4.96,-1.3827430113716652
1,1,0,18,PRP,he,,,,,,,,,,,,,,,,,5.42,-0.9587426229631248
1,1,0,19,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,0,20,RB,up,,,,,,,,,,,,,,,,,6.14,-0.2950898411062794
1,1,0,21,DT,all,,,,,,,,,,,,,,,,,6.22,-0.2213506431221854
1,1,0,22,NN,night,,,,,,,,,,,,,,,,,6.22,-0.2213506431221854
1,1,0,23,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,0,24,VBN,seated,,,,,,,,,,,,,,,,,5.8,-0.6084814325386787
1,1,0,25,IN,at,,,,,,,,,,,,,,,,,4.9,-1.4380474098597351
1,1,0,26,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,27,NN,breakfast,,,,,,,,,,,,,,,0.6,,6.86,0.3685629407505668
1,1,0,28,NN,table,,,,,,,,,,,,,,,,,5.32,-1.050916620443242
1,1,1,0,PRP,i,,,,,,,,,,,,,,,,,5.92,-0.4978726355625376
1,1,1,1,VBD,stood,,,,,,,,,,,,,,,,1.0,4.94,-1.4011778108676882
1,1,1,2,IN,upon,,,,,,,,,,,,,,,,,5.34,-1.0324818209472189
1,1,1,3,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,4,NN,hearth,,,,,,,,,,,,,,,0.6,,,
1,1,1,6,NN,rug,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,1,7,CC,and,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,1,8,VBD,picked,,,,,,,,,,,,,,,,,6.08,-0.3503942395943495
1,1,1,9,RP,up,,,,,,,,,,,,,,,,,6.14,-0.2950898411062794
1,1,1,10,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,11,NN,stick,,,,,,,,,,,,,,,,-1.0,5.08,-1.272134214395524
1,1,1,12,WDT,which,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,1,13,PRP$,our,,,,,,,,,,,,,,,,,6.08,-0.3503942395943495
1,1,1,14,NN,visitor,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.25,,,
1,1,1,15,VBD,had,,,,,,,,,,,,,,,,,4.74,-1.5855258058279234
1,1,1,16,VBN,left,,,,,,,,,,,,,,,,,4.64,-1.6776998033080412
1,1,1,17,IN,behind,,,,,,,,,,,,,,,,,4.42,-1.8804825977642996
1,1,1,18,PRP,him,,,,,,,,,,,,,,,,,5.54,-0.8481338259869838
1,1,1,19,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,20,NN,night,,,,,,,,,,,,,,,,,6.22,-0.2213506431221854
1,1,1,21,NN,before,,,,,,,,,,,,,,,,,5.1,-1.253699414899501
1,1,2,0,PRP,it,,,,,,,,,,,,,,,,,5.02,-1.327438612883595
1,1,2,1,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
