chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,1,0,0,NNP,manfred,,,,,,,,,,,,,,,,,,
1,1,0,1,NNP,prince,,,,,,,,,,,,,,,0.6,,6.44,-0.0185678486659264
1,1,0,2,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,0,3,NNP,otranto,,,,,,,,,,,,,,,,,,
1,1,0,4,VBD,had,,,,,,,,,,,,,,,,,4.74,-1.5855258058279234
1,1,0,5,CD,one,,,,,,,,,,,,,,,,,5.4,-0.977177422459148
1,1,0,6,NN,son,,,,,,,,,,,,,,,,,7.12,0.6082153341988721
1,1,0,7,CC,and,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,0,8,CD,one,,,,,,,,,,,,,,,,,5.4,-0.977177422459148
1,1,0,9,NN,daughter,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.6,,7.04,0.5344761362147781
1,1,0,10,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,11,NN,latter,,,,,,,,,,,,,,,,,5.12,-1.235264615403477
1,1,0,12,DT,a,,,,,,,,,,,,,,,,,5.24,-1.124655818427336
1,1,0,13,RBS,most,,,,,,,,,,,,,,,,,6.22,-0.2213506431221854
1,1,0,14,JJ,beautiful,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.75,,7.92,1.3456073140398117
1,1,0,15,NN,virgin,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,0.4,,6.0,-0.4241334375784436
1,1,0,16,VBD,aged,,,,,,,,,,,,,,,,,4.28,-2.0095261942364635
1,1,0,17,NN,eighteen,,,,,,,,,,,,,,,,,6.24,-0.2029158436261614
1,1,0,18,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,0,19,VBN,called,,,,,,,,,,,,,,,,,5.6,-0.7928294274989137
1,1,0,20,NNP,matilda,,,,,,,,,,,,,,,,,,
1,1,1,0,NNP,conrad,,,,,,,,,,,,,,,,,,
1,1,1,1,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,2,NN,son,,,,,,,,,,,,,,,,,7.12,0.6082153341988721
1,1,1,3,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,1,4,CD,three,,,,,,,,,,,,,,,,,5.72,-0.6822206305227727
1,1,1,5,NNS,years,,,,,,,,,,,,,,,,,5.28,-1.087786219435289
1,1,1,6,VBP,younger,,,,,,,,,,,,,,,0.25,,6.4,-0.0554374476579734
1,1,1,7,DT,a,,,,,,,,,,,,,,,,,5.24,-1.124655818427336
1,1,1,8,RB,homely,,,,,,,,,,,,,,,-0.8,-1.0,,
1,1,1,9,JJ,youth,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,,,0.4,,6.62,0.1473453467982848
1,1,1,10,NN,sickly,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-0.5,-1.0,,
1,1,1,11,CC,and,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,1,12,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,1,13,DT,no,,,,,,,,,,,,,,,,,3.48,-2.746918174077403
1,1,1,14,NN,promising,,,,,,,,,,,,0.0,1.0,1.0,0.75,,6.64,0.1657801462943078
1,1,1,15,NN,disposition,,,,,,,,,,,,,,,,,5.31,-1.0601340201912544
1,1,1,16,RB,yet,,,,,,,,,,,,,,,,,4.7,-1.6223954048199705
1,1,1,17,PRP,he,,,,,,,,,,,,,,,,,5.42,-0.9587426229631248
1,1,1,18,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,1,19,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,20,NN,darling,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,7.22,0.7003893316789891
1,1,1,21,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,1,22,PRP$,his,,,,,,,,,,,,,,,,,5.56,-0.8296990264909607
1,1,1,23,NN,father,,,,,,,,,,,,,,,,,7.06,0.5529109357108011
1,1,1,24,WP,who,,,,,,,,,,,,,,,,,5.06,-1.290569013891548
1,1,1,25,RB,never,,,,,,,,,,,,,,,,,3.34,-2.875961770549568
1,1,1,26,VBD,showed,,,,,,,,,,,,,,,,,5.74,-0.6637858310267488
1,1,1,27,DT,any,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,1,28,NNS,symptoms,,,,,,,,,,,,1.0,0.0,-1.0,-0.4,,3.76,-2.4888309811330744
1,1,1,29,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,1,30,NN,affection,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,7.53,0.9861287238673536
1,1,1,31,TO,to,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,32,NNP,matilda,,,,,,,,,,,,,,,,,,
1,1,2,0,NNP,manfred,,,,,,,,,,,,,,,,,,
1,1,2,1,VBD,had,,,,,,,,,,,,,,,,,4.74,-1.5855258058279234
1,1,2,2,VBN,contracted,,,,,,,,,,,,,,,-0.5,,,
1,1,2,3,DT,a,,,,,,,,,,,,,,,,,5.24,-1.124655818427336
1,1,2,4,NN,marriage,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,0.6,1.0,6.7,0.2210845447823788
1,1,2,5,IN,for,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,2,6,PRP$,his,,,,,,,,,,,,,,,,,5.56,-0.8296990264909607
1,1,2,7,NN,son,,,,,,,,,,,,,,,,,7.12,0.6082153341988721
1,1,2,8,IN,with,,,,,,,,,,,,,,,,,5.72,-0.6822206305227727
1,1,2,9,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,2,10,NNP,marquis,,,,,,,,,,,,,,,,,,
1,1,2,11,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,2,12,NNP,vicenzas,,,,,,,,,,,,,,,,,,
1,1,2,13,NN,daughter,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.6,,7.04,0.5344761362147781
1,1,2,14,NNP,isabella,,,,,,,,,,,,,,,,,,
1,1,2,15,CC,and,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,2,16,PRP,she,,,,,,,,,,,,,,,,,6.18,-0.2582202421142324
1,1,2,17,VBD,had,,,,,,,,,,,,,,,,,4.74,-1.5855258058279234
1,1,2,18,RB,already,,,,,,,,,,,,,,,,,5.28,-1.087786219435289
1,1,2,19,VBN,been,,,,,,,,,,,,,,,,,5.04,-1.3090038133875712
1,1,2,20,VBN,delivered,,,,,,,,,,,,,,,,,6.42,-0.0370026481619503
1,1,2,21,IN,by,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,2,22,PRP$,her,,,,,,,,,,,,,,,,,5.84,-0.5716118335466316
1,1,2,23,NNS,guardians,,,,,,,,,,,,,,,0.8,,,
1,1,2,24,IN,into,,,,,,,,,,,,,,,,,5.04,-1.3090038133875712
1,1,2,25,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,2,26,NNS,hands,,,,,,,,,,,,,,,,,6.0,-0.4241334375784436
1,1,2,27,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,2,28,NNP,manfred,,,,,,,,,,,,,,,,,,
