chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,0,0,1,NN,marleys,,,,,,,,,,,,,,,,,,
1,0,0,2,NNP,ghost,,,,,,,,,,,,,,,-0.6,,3.64,-2.599439778109216
1,1,0,0,NNP,marley,,,,,,,,,,,,,,,,,,
1,1,0,1,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,0,2,VBN,dead,,,,,,,,,,,,1.0,0.0,-1.0,-1.0,-1.0,2.0,-4.111093336783142
1,1,0,3,TO,to,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,4,VB,begin,,,,,,,,,,,,,,,,,6.28,-0.1660462446341144
1,1,0,5,NN,with,,,,,,,,,,,,,,,,,5.72,-0.6822206305227727
1,1,1,0,EX,there,,,,,,,,,,,,,,,,,5.1,-1.253699414899501
1,1,1,1,VBZ,is,,,,,,,,,,,,,,,,,5.18,-1.1799602169154069
1,1,1,2,DT,no,,,,,,,,,,,,,,,,,3.48,-2.746918174077403
1,1,1,3,NN,doubt,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-0.75,-1.0,3.16,-3.041874966013779
1,1,1,4,WDT,whatever,,,,,,,,,,,,,,,,,4.58,-1.7330042017961114
1,1,1,5,IN,about,,,,,,,,,,,,,,,,,5.16,-1.19839501641143
1,1,1,6,NN,that,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,2,0,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,2,1,NN,register,,,,,,,,,,,,,,,,,5.26,-1.1062210189313129
1,1,2,2,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,2,3,PRP$,his,,,,,,,,,,,,,,,,,5.56,-0.8296990264909607
