chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,0,0,0,NN,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,0,1,NNP,project,,,,,,,,,,,,,,,,,5.74,-0.6637858310267488
1,0,0,2,NNP,gutenberg,,,,,,,,,,,,,,,,,,
1,0,0,3,NNP,ebook,,,,,,,,,,,,,,,,,5.98,-0.4425682370744667
1,0,0,4,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,0,0,5,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,0,6,NNP,old,,,,,,,,,,,,,,,,,3.98,-2.2860481866768163
1,0,0,7,NNP,english,,,,,,,,,,,,,,,,,6.58,0.1104757478062377
1,0,0,8,NNP,baron,,,,,,,,,,,,,,,,,,
1,0,0,9,IN,by,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,0,10,NNP,clara,,,,,,,,,,,,,,,,,,
1,0,0,11,NNP,reeve,,,,,,,,,,,,,,,,,,
1,1,0,0,DT,this,,,,,,,,,,,,,,,,,5.06,-1.290569013891548
1,1,0,1,NN,ebook,,,,,,,,,,,,,,,,,5.98,-0.4425682370744667
1,1,0,2,VBZ,is,,,,,,,,,,,,,,,,,5.18,-1.1799602169154069
1,1,0,3,IN,for,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,0,4,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,5,NN,use,,,,,,,,,,,,,,,,,5.64,-0.7559598285068667
1,1,0,6,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,0,7,NN,anyone,,,,,,,,,,,,,,,,,5.02,-1.327438612883595
1,1,0,8,RB,anywhere,,,,,,,,,,,,,,,,,5.34,-1.0324818209472189
