chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,0,0,0,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,0,1,NNP,pit,,,,,,,,,,,,,,,,,4.3,-1.9910913947404405
1,0,0,2,CC,and,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,0,0,3,NNP,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,0,4,NNP,pendulum,,,,,,,,,,,,,,,,,,
1,1,0,0,NNP,impia,,,,,,,,,,,,,,,,,,
1,1,0,1,NN,tortorum,,,,,,,,,,,,,,,,,,
1,1,0,2,NN,longos,,,,,,,,,,,,,,,,,,
1,1,0,3,JJ,hic,,,,,,,,,,,,,,,,,,
1,1,0,4,NN,turba,,,,,,,,,,,,,,,,,,
1,1,0,5,NNS,furores,,,,,,,,,,,,,,,,,,
1,1,0,6,NNP,sanguinis,,,,,,,,,,,,,,,,,,
1,1,0,7,NN,innocui,,,,,,,,,,,,,,,,,,
1,1,0,8,NN,non,,,,,,,,,,,,,,,,,4.26,-2.027960993732488
1,1,0,9,NN,satiata,,,,,,,,,,,,,,,,,,
1,1,0,10,NN,aluit,,,,,,,,,,,,,,,,,,
1,1,1,0,NNP,sospite,,,,,,,,,,,,,,,,,,
1,1,1,1,JJ,nunc,,,,,,,,,,,,,,,,,,
1,1,1,2,NN,patria,,,,,,,,,,,,,,,,,,
1,1,1,3,NN,fracto,,,,,,,,,,,,,,,,,,
1,1,1,4,JJ,nunc,,,,,,,,,,,,,,,,,,
1,1,1,5,NN,funeris,,,,,,,,,,,,,,,,,,
1,1,1,6,NN,antro,,,,,,,,,,,,,,,,,,
1,1,1,7,NNP,mors,,,,,,,,,,,,,,,,,,
1,1,1,8,JJ,ubi,,,,,,,,,,,,,,,,,,
1,1,1,9,NN,dira,,,,,,,,,,,,,,,,,,
1,1,1,10,NN,fuit,,,,,,,,,,,,,,,,,,
1,1,1,11,NN,vita,,,,,,,,,,,,,,,,,5.59,-0.8020468272469252
