chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,0,0,0,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,0,1,NNP,masque,,,,,,,,,,,,,,,,,,
1,0,0,2,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,0,0,3,NNP,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,0,4,NNP,red,,,,,,,,,,,,,,,,,5.56,-0.8296990264909607
1,0,0,5,NNP,death,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-0.75,-1.0,1.54,-4.5350937251916825
1,1,0,0,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,1,NNP,red,,,,,,,,,,,,,,,,,5.56,-0.8296990264909607
1,1,0,2,NNP,death,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-0.75,-1.0,1.54,-4.5350937251916825
1,1,0,3,VBD,had,,,,,,,,,,,,,,,,,4.74,-1.5855258058279234
1,1,0,4,RB,long,,,,,,,,,,,,,,,,,4.74,-1.5855258058279234
1,1,0,5,VBN,devastated,,,,,,,,,,,,1.0,0.0,-1.0,-0.5,,,
1,1,0,6,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,7,NN,country,,,,,,,,,,,,,,,,,6.28,-0.1660462446341144
1,1,1,0,DT,no,,,,,,,,,,,,,,,,,3.48,-2.746918174077403
1,1,1,1,NN,pestilence,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,,,,-1.0,,,
1,1,1,2,VBD,had,,,,,,,,,,,,,,,,,4.74,-1.5855258058279234
1,1,1,3,RB,ever,,,,,,,,,,,,,,,,,5.42,-0.9587426229631248
1,1,1,4,VBN,been,,,,,,,,,,,,,,,,,5.04,-1.3090038133875712
