chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,0,1,0,NNP,mr,,,,,,,,,,,,,,,,,5.26,-1.1062210189313129
1,0,1,1,NNP,sherlock,,,,,,,,,,,,,,,,,,
1,0,1,2,NNP,holmes,,,,,,,,,,,,,,,,,5.48,-0.903438224475054
1,1,0,0,IN,in,,,,,,,,,,,,,,,,,5.5,-0.8850034249790308
1,1,0,1,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,2,NN,year,,,,,,,,,,,,,,,,,5.38,-0.9956122219551718
1,1,0,4,PRP,i,,,,,,,,,,,,,,,,,5.92,-0.4978726355625376
1,1,0,5,VBD,took,,,,,,,,,,,,,,,,,4.76,-1.5670910063319003
1,1,0,6,PRP$,my,,,,,,,,,,,,,,,,,6.16,-0.2766550416102555
1,1,0,7,NN,degree,,,,,,,,,,,,,,,,,6.26,-0.1844810441301384
1,1,0,8,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,0,9,NNP,doctor,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,5.34,-1.0324818209472189
1,1,0,10,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,0,11,NNP,medicine,,,,,,,,,,,,,,,,,5.08,-1.272134214395524
1,1,0,12,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,0,13,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,14,NNP,university,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,0.6,,6.74,0.2579541437744257
1,1,0,15,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,0,16,NNP,london,,,,,,,,,,,,,,,,,6.46,-0.0001330491699033
1,1,0,17,CC,and,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,0,18,VBD,proceeded,,,,,,,,,,,,,,,,,6.12,-0.3135246406023025
1,1,0,19,TO,to,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,20,NNP,netley,,,,,,,,,,,,,,,,,,
1,1,0,21,TO,to,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,22,VB,go,,,,,,,,,,,,,,,,,5.54,-0.8481338259869838
1,1,0,23,IN,through,,,,,,,,,,,,,,,,,5.62,-0.7743946280028898
1,1,0,24,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,25,NN,course,,,,,,,,,,,,,,,,,5.42,-0.9587426229631248
1,1,0,26,VBD,prescribed,,,,,,,,,,,,,,,,,5.29,-1.0785688196872774
1,1,0,27,IN,for,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,0,28,NNS,surgeons,,,,,,,,,,,,,,,,,,
1,1,0,29,IN,in,,,,,,,,,,,,,,,,,5.5,-0.8850034249790308
1,1,0,30,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,31,NN,army,,,,,,,,,,,,,,,,,4.48,-1.8251781992762288
1,1,1,0,VBG,having,,,,,,,,,,,,,,,,,5.78,-0.6269162320347017
1,1,1,1,VBN,completed,,,,,,,,,,,,,,,,,6.82,0.3316933417585197
1,1,1,2,PRP$,my,,,,,,,,,,,,,,,,,6.16,-0.2766550416102555
1,1,1,3,NNS,studies,,,,,,,,,,,,,,,,,6.4,-0.0554374476579734
1,1,1,4,VBP,there,,,,,,,,,,,,,,,,,5.1,-1.253699414899501
1,1,1,5,PRP,i,,,,,,,,,,,,,,,,,5.92,-0.4978726355625376
1,1,1,6,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,1,7,RB,duly,,,,,,,,,,,,,,,,,,
1,1,1,8,VBN,attached,,,,,,,,,,,,,,,,,5.58,-0.8112642269949368
1,1,1,9,TO,to,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,10,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,11,NNP,fifth,,,,,,,,,,,,,,,,,5.24,-1.124655818427336
1,1,1,12,NNP,northumberland,,,,,,,,,,,,,,,,,,
1,1,1,13,NNP,fusiliers,,,,,,,,,,,,,,,,,,
1,1,1,14,IN,as,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,1,15,NNP,assistant,,,,,,,,,,,,,,,,1.0,5.62,-0.7743946280028898
1,1,1,16,NNP,surgeon,,,,,,,,,,,,,,,,,5.34,-1.0324818209472189
1,1,2,0,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,2,1,NN,regiment,,,,,,,,,,,,,,,,,4.96,-1.3827430113716652
1,1,2,2,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,2,3,VBN,stationed,,,,,,,,,,,,,,,,,,
1,1,2,4,IN,in,,,,,,,,,,,,,,,,,5.5,-0.8850034249790308
1,1,2,5,NNP,india,,,,,,,,,,,,,,,,,6.42,-0.0370026481619503
