chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,0,0,0,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,0,1,NNP,science,,,,,,,,,,,,,,,,,6.86,0.3685629407505668
1,0,0,2,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,0,0,3,NNP,deduction,,,,,,,,,,,,,,,,,,
1,1,0,0,NNP,sherlock,,,,,,,,,,,,,,,,,,
1,1,0,1,NNP,holmes,,,,,,,,,,,,,,,,,5.48,-0.903438224475054
1,1,0,2,VBD,took,,,,,,,,,,,,,,,,,4.76,-1.5670910063319003
1,1,0,3,PRP$,his,,,,,,,,,,,,,,,,,5.56,-0.8296990264909607
1,1,0,4,NN,bottle,,,,,,,,,,,,,,,,,5.62,-0.7743946280028898
1,1,0,5,IN,from,,,,,,,,,,,,,,,,,5.18,-1.1799602169154069
1,1,0,6,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,7,NN,corner,,,,,,,,,,,,,,,,,4.74,-1.5855258058279234
1,1,0,8,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,0,9,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,10,NN,mantel,,,,,,,,,,,,,,,,,,
1,1,0,12,NN,piece,,,,,,,,,,,,,,,,-1.0,5.26,-1.1062210189313129
1,1,0,13,CC,and,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,0,14,PRP$,his,,,,,,,,,,,,,,,,,5.56,-0.8296990264909607
1,1,0,15,JJ,hypodermic,,,,,,,,,,,,,,,,,,
1,1,0,16,NN,syringe,,,,,,,,,,,,,,,,,,
1,1,0,17,IN,from,,,,,,,,,,,,,,,,,5.18,-1.1799602169154069
1,1,0,18,PRP$,its,,,,,,,,,,,,,,,,,4.96,-1.3827430113716652
1,1,0,19,NN,neat,,,,,,,,,,,,0.0,1.0,1.0,0.8,1.0,6.72,0.2395193442784018
1,1,0,20,NN,morocco,,,,,,,,,,,,,,,,,,
1,1,0,21,NN,case,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,,,,,,5.02,-1.327438612883595
1,1,1,0,IN,with,,,,,,,,,,,,,,,,,5.72,-0.6822206305227727
