chap_id,para_num,sent_num,token_num,pos,term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment,labmt_happiness,labmt_z
1,0,1,0,PRP,i,,,,,,,,,,,,,,,,,5.92,-0.4978726355625376
1,0,1,1,VBP,go,,,,,,,,,,,,,,,,,5.54,-0.8481338259869838
1,0,1,2,JJ,to,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,0,1,3,NNP,styles,,,,,,,,,,,,,,,,,6.22,-0.2213506431221854
1,1,0,0,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,1,JJ,intense,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,-0.25,,5.66,-0.7375250290108428
1,1,0,2,NN,interest,,,,,,,,,,,,,,,0.5,1.0,6.36,-0.0923070466500204
1,1,0,3,VBN,aroused,,,,,,,,,,,,,,,0.8,,,
1,1,0,4,IN,in,,,,,,,,,,,,,,,,,5.5,-0.8850034249790308
1,1,0,5,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,6,NN,public,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,5.18,-1.1799602169154069
1,1,0,7,IN,by,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,8,WP,what,,,,,,,,,,,,,,,,,4.8,-1.5302214073398532
1,1,0,9,VBD,was,,,,,,,,,,,,,,,,,4.6,-1.7145694023000884
1,1,0,10,VBN,known,,,,,,,,,,,,,,,,,5.8,-0.6084814325386787
1,1,0,11,IN,at,,,,,,,,,,,,,,,,,4.9,-1.4380474098597351
1,1,0,12,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,13,NN,time,,,,,,,,,,,,,,,,,5.74,-0.6637858310267488
1,1,0,14,IN,as,,,,,,,,,,,,,,,,,5.22,-1.14309061792336
1,1,0,15,JJ,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,0,16,NNP,styles,,,,,,,,,,,,,,,,,6.22,-0.2213506431221854
1,1,0,17,NNP,case,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,,,,,,5.02,-1.327438612883595
1,1,0,18,VBZ,has,,,,,,,,,,,,,,,,,5.18,-1.1799602169154069
1,1,0,19,RB,now,,,,,,,,,,,,,,,,,5.9,-0.5163074350585607
1,1,0,20,RB,somewhat,,,,,,,,,,,,,,,,,4.76,-1.5670910063319003
1,1,0,21,JJ,subsided,,,,,,,,,,,,,,,,,,
1,1,1,0,NNP,nevertheless,,,,,,,,,,,,,,,,,4.88,-1.4564822093557592
1,1,1,1,IN,in,,,,,,,,,,,,,,,,,5.5,-0.8850034249790308
1,1,1,2,NN,view,,,,,,,,,,,,,,,,,5.72,-0.6822206305227727
1,1,1,3,IN,of,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,1,4,DT,the,,,,,,,,,,,,,,,,,4.98,-1.364308211875641
1,1,1,5,NN,world,,,,,,,,,,,,,,,,,6.52,0.0551713493181666
1,1,1,7,JJ,wide,,,,,,,,,,,,,,,,,5.46,-0.9218730239710778
1,1,1,8,NN,notoriety,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.25,1.0,,
1,1,1,9,WDT,which,,,,,,,,,,,,,,,,,4.94,-1.4011778108676882
1,1,1,10,VBD,attended,,,,,,,,,,,,,,,,,5.54,-0.8481338259869838
1,1,1,11,NN,it,,,,,,,,,,,,,,,,,5.02,-1.327438612883595
1,1,1,12,PRP,i,,,,,,,,,,,,,,,,,5.92,-0.4978726355625376
1,1,1,13,VBP,have,,,,,,,,,,,,,,,,,5.82,-0.5900466330426548
