term_str,n,pos_max,pos_group,df,dfidf
the,85329,DT,DT,320,0.0
to,45176,TO,TO,320,0.0
and,44991,CC,CC,320,0.0
of,42638,IN,IN,320,0.0
i,32985,PRP,PR,316,5.734561560442009
a,28533,DT,DT,320,0.0
in,23501,IN,IN,320,0.0
that,21120,IN,IN,320,0.0
was,19416,VBD,VB,319,1.4404384780752142
he,18994,PRP,PR,318,2.8763543937562215
it,18445,PRP,PR,320,0.0
her,15741,PRP$,PR,299,29.279999786087917
you,15722,PRP,PR,306,19.74931717158146
his,14995,PRP$,PR,318,2.8763543937562215
my,13164,PRP$,PR,314,8.574506642660895
had,12858,VBD,VB,320,0.0
with,12754,IN,IN,319,1.4404384780752142
she,12332,PRP,PR,294,35.94319051499343
as,11252,IN,IN,320,0.0
for,11150,IN,IN,320,0.0
not,10069,RB,RB,320,0.0
is,9913,VBZ,VB,319,1.4404384780752142
at,9706,IN,IN,318,2.8763543937562215
but,9528,CC,CC,320,0.0
me,9519,PRP,PR,306,19.74931717158146
have,9099,VBP,VB,320,0.0
be,8787,VB,VB,320,0.0
on,8689,IN,IN,320,0.0
which,8432,WDT,WD,317,4.307733525101738
this,7512,DT,DT,320,0.0
him,7421,PRP,PR,311,12.79992799935227
by,6923,IN,IN,320,0.0
from,6780,IN,IN,320,0.0
said,6370,VBD,VB,308,16.98359869127794
all,5710,DT,DT,318,2.8763543937562215
so,5647,RB,RB,318,2.8763543937562215
we,5381,PRP,PR,299,29.279999786087917
no,5200,DT,DT,320,0.0
were,4919,VBD,VB,314,8.574506642660895
they,4802,PRP,PR,312,11.396073319835528
what,4794,WP,WP,317,4.307733525101738
when,4674,WRB,WR,316,5.734561560442009
there,4568,EX,EX,312,11.396073319835528
your,4527,PRP$,PR,297,31.959865303719166
would,4275,MD,MD,317,4.307733525101738
if,4231,IN,IN,315,7.156824097526287
been,4227,VBN,VB,318,2.8763543937562215
will,4164,MD,MD,307,18.368807601775178
an,4121,DT,DT,318,2.8763543937562215
one,4031,CD,CD,315,7.156824097526287
could,3697,MD,MD,313,9.987594609834858
are,3667,VBP,VB,305,21.125112043319707
upon,3586,IN,IN,286,46.34823281916629
now,3580,RB,RB,316,5.734561560442009
who,3535,WP,WP,316,5.734561560442009
then,3534,RB,RB,307,18.368807601775178
or,3507,CC,CC,315,7.156824097526287
them,3434,PRP,PR,315,7.156824097526287
out,3169,RP,RP,299,29.279999786087917
some,3160,DT,DT,314,8.574506642660895
do,3149,VBP,VB,303,23.862495758566624
more,3100,RBR,RB,318,2.8763543937562215
up,2977,RP,RP,309,15.593705697743188
into,2894,IN,IN,312,11.396073319835528
mr,2860,NNP,NN,196,138.61477715134222
their,2819,PRP$,PR,290,41.18551141300408
very,2759,RB,RB,305,21.125112043319707
