topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,10333.86200624523,21.71916372730957,8.53,darcy elizabeth bennet jane civility younger de pride,elizabeth darcy bennet jane sister sisters aunt father,0: darcy elizabeth bennet jane civility younger de pride
1,437.8455806830233,1.6911505669690463,7.84,servant door stand sooner further cold afraid laughed,mother door replied room does afraid servant half,1: servant door stand sooner further cold afraid laughed
2,709.375116107733,1.2784661408000424,8.55,hundred lately increase assistance ourselves nobody notice pride,thing letter nobody knightley assure fine emma believe,2: hundred lately increase assistance ourselves nobody notice pride
3,16676.47157547604,25.4310344690563,8.95,emma knightley hartfield woodhouse body fortunate thing jane,emma knightley thing woodhouse jane body hartfield friend,3: emma knightley hartfield woodhouse body fortunate thing jane
4,10530.100139142376,27.573353449031465,8.42,youth england death years age education plain amiable,sir our father years woman life children girl,4: youth england death years age education plain amiable
5,4534.198128185391,10.711336204812842,8.17,dashwood edward cottage john income thousand elinor estate,elinor dashwood edward marianne mother john colonel thing,5: dashwood edward cottage john income thousand elinor estate
6,8857.157069566689,15.571362810861359,8.52,marianne elinor edward dashwood inquiry declared affair exclaimed,elinor marianne edward sister dashwood mother thing saw,6: marianne elinor edward dashwood inquiry declared affair exclaimed
7,539.2160520758075,1.2419335659151787,8.37,reading tears try grateful friendly tolerably latter weather,elinor marianne rest colonel where others child walk,7: reading tears try grateful friendly tolerably latter weather
8,62.00000004667104,0.9916267548236795,9.38,supposing suffered useful support avoid past curiosity nature,already avoid useful daughter curiosity life ill supposing,8: supposing suffered useful support avoid past curiosity nature
9,42648.93338062368,68.77256698515669,9.34,play dance dress listening seat admired rooms eye,room look down half party evening go sir,9: play dance dress listening seat admired rooms eye
10,1272.7145384758055,9.892538300461505,7.01,susan de yours street town girl london matters,susan de mother letter town street sir london,10: susan de yours street town girl london matters
11,9401.792890151424,19.031943920409688,8.3,news send write says colonel comes us seems,us oh go came thing colonel going heard,11: news send write says colonel comes us seems
12,4466.399838119551,9.446784767914854,8.2,further henry catherine bed journey alarm general sudden,catherine general henry room father daughter home heart,12: further henry catherine bed journey alarm general sudden
13,4648.10056984125,8.504100454924458,8.35,catherine brothers street parting odd anybody bath brother,catherine go brother friend oh yes off anything,13: catherine brothers street parting odd anybody bath brother
14,686.4612565645342,1.425426385370679,7.61,sweet enter cottage fortunate love beautiful single nay,love replied oh cousin sweet cottage colonel letter,14: sweet enter cottage fortunate love beautiful single nay
15,1039.8293125403566,2.9225319646429457,7.87,tolerable highly sensible elegant intimate possibility education severe,sir evening colonel friend elizabeth sensible return daughter,15: tolerable highly sensible elegant intimate possibility education severe
16,16984.55828588686,26.942820450724696,8.97,fanny william uncle useful aunt everything parsonage cousin,fanny sir william everything aunt sister anything uncle,16: fanny william uncle useful aunt everything parsonage cousin
17,35132.44157350663,77.04917269579107,9.33,attached sentiments consent engagement conduct language supposing explanation,letter myself heart love believe happiness present affection,17: attached sentiments consent engagement conduct language supposing explanation
18,604.0000002427507,2.0611345219667747,8.44,laughed bennet summer news scheme safe frequent seated,bennet elizabeth us three gone home ladies catherine,18: laughed bennet summer news scheme safe frequent seated
19,1237.5426864806077,1.7415518630572218,8.37,woodhouse hartfield letters indifferent news plain william thinks,jane woodhouse emma knightley oh our william thing,19: woodhouse hartfield letters indifferent news plain william thinks
