topic_id,phi_sum,theta_sum,h,top_terms,label,0,1
0,2115.0914231992265,4.906353010179549,7.02,darcy elizabeth sister pride saw jane aunt manner,0: darcy elizabeth sister pride saw jane aunt manner,0.104254775,-0.13296689
1,25.000000000000004,0.034274915919546955,9.97,among suffered dislike happen dreadful declared elegant important,1: among suffered dislike happen dreadful declared elegant important,-0.3608929,-0.6192934
2,848.9999999998804,1.0330627947074245,8.55,emma knightley us cried replied our moment smile,2: emma knightley us cried replied our moment smile,-0.5783804,-0.5518577
3,14767.530586123607,22.276534607675917,8.91,emma knightley thing woodhouse body hartfield jane friend,3: emma knightley thing woodhouse body hartfield jane friend,-1.716817,-0.73299557
4,367.7070874793806,2.417188708202646,7.86,our letter sir health melancholy get dinner letters,4: our letter sir health melancholy get dinner letters,-0.41460106,-0.5707311
5,112.56554477705053,1.0255736985788706,6.88,edward sir each imagine arrived motive door entered,5: edward sir each imagine arrived motive door entered,-0.37310272,-0.61584693
6,1724.0412183419107,3.4956762235975933,6.55,marianne elinor sister mother colonel town replied cried,6: marianne elinor sister mother colonel town replied cried,-0.5818181,-1.2628932
7,372.24230722858186,0.9989266854643061,8.17,elinor marianne rest where child colonel behaviour towards,7: elinor marianne rest where child colonel behaviour towards,-0.41166162,-0.6087841
8,348.35250669242,1.1158544672492974,8.06,friends present home bath daughter another heart catherine,8: friends present home bath daughter another heart catherine,-0.39805675,-0.5816375
9,15448.984004764949,22.22810308709671,9.11,fanny mary anything part go us yes play,9: fanny mary anything part go us yes play,-1.1994617,0.5643088
10,151.32155545997003,2.113631995153875,7.51,myself therefore street town admitted keep present within,10: myself therefore street town admitted keep present within,-0.3768444,-0.6079152
11,1239.9478573661736,3.067521211117491,8.7,elinor marianne dashwood mother sister love less heart,11: elinor marianne dashwood mother sister love less heart,-0.5797689,-0.5745104
12,2052.656430899913,5.6047082986512615,6.18,catherine henry general brother read father friend bath,12: catherine henry general brother read father friend bath,0.5266965,-0.9975362
13,648.9999999999236,1.0326749159195456,8.27,fanny part look room came began everybody evening,13: fanny part look room came began everybody evening,-0.45682055,-0.4932946
14,739.6221898018941,4.845951953189709,5.28,susan mother de letter town london myself yours,14: susan mother de letter town london myself yours,-0.20588899,-0.80761766
15,151.99999999999383,1.0264624159195457,7.76,sister less power love delightful given serious opinion,15: sister less power love delightful given serious opinion,-0.37849393,-0.60344505
16,12969.744409077473,20.240998901019935,8.84,fanny sir william aunt everything sister uncle love,16: fanny sir william aunt everything sister uncle love,-0.5685471,0.80295527
17,31286.69977972605,62.497748502751236,9.26,letter myself heart love believe happiness us our,17: letter myself heart love believe happiness us our,-1.4707752,0.7405616
18,349.999999999975,1.0312074312569703,7.84,elizabeth us three gone home jane mary news,18: elizabeth us three gone home jane mary news,-0.4028987,-0.54731894
19,695.6584038257721,1.263865167097203,7.66,knightley emma john jane hartfield woodhouse letters dinner,19: knightley emma john jane hartfield woodhouse letters dinner,-0.59242696,-0.60500497
20,1516.3874695053894,4.006749391227456,7.43,elizabeth darcy friend looked catherine colonel room seen,20: elizabeth darcy friend looked catherine colonel room seen,-0.25356895,-0.2694242
21,15390.822203643254,27.316237352825055,8.6,oh us yes thing sir go room down,21: oh us yes thing sir go room down,-1.2780988,0.622883
22,138.55382403932794,1.5478616340145328,7.19,each longer others both least suppose our people,22: each longer others both least suppose our people,-0.37431234,-0.6073401
23,536.8225948431692,0.8491185636846873,7.67,woodhouse jane oh thing william emma hartfield us,23: woodhouse jane oh thing william emma hartfield us,-0.51726246,-0.5673436
24,560.7022764212454,1.0052876865056544,8.46,elizabeth letter darcy told believe easily myself replied,24: elizabeth letter darcy told believe easily myself replied,-0.40894943,-0.53079975
25,473.0389484682074,2.9498793956440124,8.32,our elizabeth us power kindness happiness marriage everything,25: our elizabeth us power kindness happiness marriage everything,-0.41522488,-0.5450429
26,194.84248608296264,1.2056146381989887,7.74,ones extremely where power superior determined life myself,26: ones extremely where power superior determined life myself,-0.38467857,-0.602026
27,333.5067876502221,1.5578285406194916,3.63,bath our london already manners world pleasing ourselves,27: bath our london already manners world pleasing ourselves,-0.11394535,-0.7739759
28,43.99999999999966,0.9842749159195461,8.41,gone news story home does account rather yourself,28: gone news story home does account rather yourself,-0.3638454,-0.61756456
29,5102.692366210316,13.465110063434922,8.66,bennet elizabeth replied jane sir love myself sisters,29: bennet elizabeth replied jane sir love myself sisters,-0.91269916,-0.12281119
30,25.000000000000004,0.034274915919546955,9.97,among suffered dislike happen dreadful declared elegant important,30: among suffered dislike happen dreadful declared elegant important,-0.3607897,-0.6192341
31,604.6366077984494,1.8876837641112556,8.41,darcy does care where colonel world friends walked,31: darcy does care where colonel world friends walked,-0.42800337,-0.52328706
32,6350.67656010031,11.796005424321804,8.14,elinor marianne edward dashwood mother colonel john thing,32: elinor marianne edward dashwood mother colonel john thing,-0.6787414,-1.6857443
33,16218.320654320392,33.05310003521856,8.82,father years woman life acquaintance sir fortune home,33: father years woman life acquaintance sir fortune home,-1.582573,-0.09560456
34,1377.8968609614867,2.0929051904997866,7.59,jane colonel heard mother thing us letter hear,34: jane colonel heard mother thing us letter hear,-0.73296756,-0.49552307
35,767.130174344864,1.5501465544408881,5.3,dance ball room evening five sir stand talk,35: dance ball room evening five sir stand talk,-0.5759754,-0.85005176
36,1592.5269831353617,5.703072463425209,7.04,our us father edward since sir myself amiable,36: our us father edward since sir myself amiable,-0.76180303,-0.42854315
37,27915.467831322887,47.78117217222134,9.21,room go moment look morning evening door walk,37: room go moment look morning evening door walk,-1.4175463,0.7400224
38,4209.050823017548,8.962709956697323,7.89,elizabeth jane bennet mother father sister daughter sisters,38: elizabeth jane bennet mother father sister daughter sisters,-0.0019244746,0.17308435
39,1033.7592433333643,3.994648350321304,7.92,child dashwood mother children thousand sisters years girls,39: child dashwood mother children thousand sisters years girls,-0.55303484,-0.53724253
