term_str,n,n_chars,p,i,h
1,3,1,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
15,1,2,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
16,1,2,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1760,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1784,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1785,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1787,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1789,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1791,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1800,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1803,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1806,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1810,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1814,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
1st,1,3,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
20,1,2,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
200,1,3,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
29th,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
5,2,1,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
7000l,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
9,1,1,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
a,3687,1,0.018002578074646978,5.795652666043256,0.10433668961397961
abandoned,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abatement,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abbeyland,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abbreviation,1,12,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abdication,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abhor,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abhorred,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
abhorrence,4,10,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
abide,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abilities,12,9,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
ability,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
able,76,4,0.00037108650221675355,11.395956853693487,0.004228885768250156
ablest,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abode,6,5,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
abominable,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abominably,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abominate,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abominates,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abounded,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
about,241,5,0.0011767348293978633,9.730995030907112,0.011450800777565936
above,26,5,0.00012695064549520516,12.943444648995982,0.001643178653121499
abridge,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abridgement,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abroad,14,6,6.835803988203356e-05,13.836529445079469,0.0009458380316356741
abruptly,3,8,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
abruptness,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
absence,20,7,9.765434268861937e-05,13.321956272249711,0.0013009468830930755
absent,7,6,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
absenting,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
absolute,6,8,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
absolutely,15,10,7.324075701646453e-05,13.736993771528555,0.0010061078229572095
abstracted,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abstraction,2,11,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
abstruse,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
absurd,8,6,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
absurdity,5,9,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
abundance,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
abundantly,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abuse,4,5,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
abused,3,6,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
abuses,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
abydos,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acacia,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accelerate,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accent,3,6,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
accents,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accept,16,6,7.812347415089549e-05,13.643884367137073,0.0010659076476738402
acceptable,5,10,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
acceptably,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acceptance,4,10,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
accepted,10,8,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
accepting,9,9,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
accession,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accessions,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accident,12,8,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
accidental,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
accidentally,8,12,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
accommodate,5,11,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
accommodating,3,13,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
accommodation,10,13,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
accommodations,7,14,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
accompanied,3,11,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
accompany,5,9,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
accompanying,1,12,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accomplish,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
accomplished,4,12,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
accomplishment,3,14,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
accomplishments,4,15,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
accord,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accordant,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
according,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
accordingly,9,11,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
accosted,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
account,81,7,0.0003955000878889084,11.304034364252448,0.004470746584561084
accounted,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accounts,10,8,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
accrue,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accurately,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
accusation,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accuse,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
accused,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accustom,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
accustomary,4,11,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
aches,3,5,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
aching,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
acknowledge,20,11,9.765434268861937e-05,13.321956272249711,0.0013009468830930755
acknowledged,20,12,9.765434268861937e-05,13.321956272249711,0.0013009468830930755
acknowledgement,2,15,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
acknowledgements,1,16,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acknowledging,5,13,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
acknowledgment,4,14,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
acknowledgments,3,15,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
acquaintance,125,12,0.000610339641803871,10.678100082474986,0.006517267779483668
acquaintances,1,13,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acquainted,53,10,0.0002587840081248413,11.915963912573874,0.0030836609019668335
acquiesced,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acquiescence,4,12,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
acquired,5,8,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
acquisition,4,11,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
acquit,4,6,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
acquittal,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acquitted,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
acquitting,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acre,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acres,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
across,10,6,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
act,18,3,8.788890841975742e-05,13.47395936569476,0.0011842115807430796
acted,6,5,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
acting,12,6,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
action,8,6,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
actions,11,7,5.370988847874065e-05,14.184452748499776,0.0007618453752538893
active,14,6,6.835803988203356e-05,13.836529445079469,0.0009458380316356741
activity,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
acts,2,4,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
actual,5,6,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
actually,16,8,7.812347415089549e-05,13.643884367137073,0.0010659076476738402
actuated,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acute,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
acutely,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
acuteness,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
adapted,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
add,13,3,6.347532274760258e-05,13.943444648995982,0.0008850646493083522
added,65,5,0.0003173766137380129,11.621516554108618,0.0036883975704432538
adding,5,6,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
addition,12,8,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
additional,7,10,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
additions,2,9,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
address,23,7,0.00011230249409191226,13.12032241108006,0.0014734449300543026
addressed,6,9,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
addresses,4,9,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
addressing,7,10,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
adequate,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
adhering,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
adieu,3,5,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
adieus,3,6,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
adjoining,5,9,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
adjusting,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
administer,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
administering,1,13,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
admirable,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
admirably,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
admiral,69,7,0.0003369074822757368,11.535359910358904,0.0038863490645434876
admiralty,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
admiration,32,10,0.00015624694830179098,12.643884367137073,0.0019755683470458895
admire,17,6,8.300619128532646e-05,13.556421525886734,0.0011252669183222713
admired,10,7,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
admirer,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
admirers,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
admires,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
admiring,6,8,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
admission,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
admit,15,5,7.324075701646453e-05,13.736993771528555,0.0010061078229572095
admittance,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
admitted,18,8,8.788890841975742e-05,13.47395936569476,0.0011842115807430796
admitting,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
adopt,7,5,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
adopted,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
adorned,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
advance,4,7,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
advanced,10,8,4.8827171344309684e-05,14.321956272249711,0.0006993006128908475
advancement,2,11,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
advances,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
advancing,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
advantage,47,9,0.0002294877053182555,12.089295515459437,0.002774344686757063
advantageous,3,12,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
advantages,8,10,3.9061737075447746e-05,14.643884367137073,0.0005720155609123678
adverse,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
advertise,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
advertised,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
advice,15,6,7.324075701646453e-05,13.736993771528555,0.0010061078229572095
advisable,6,9,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
advise,9,6,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
advised,6,7,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
advising,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
affability,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
affable,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
affair,28,6,0.00013671607976406712,12.836529445079469,0.001754959983507281
affairs,12,7,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
affect,5,6,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
affectation,3,11,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
affected,18,8,8.788890841975742e-05,13.47395936569476,0.0011842115807430796
affectedly,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
affecting,5,9,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
affection,88,9,0.0004296791078299252,11.184452748499776,0.004805725678541339
affectionate,25,12,0.00012206792836077421,13.00002817736235,0.0015868865082423133
affectionately,5,14,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
affections,15,10,7.324075701646453e-05,13.736993771528555,0.0010061078229572095
affects,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
affirmative,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
affixed,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
afflict,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
afflicted,4,9,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
afflicting,1,10,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
affliction,19,10,9.277162555418839e-05,13.395956853693487,0.0012427646931709158
afflictions,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
affluence,6,9,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
affluent,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
afford,24,6,0.00011718521122634323,13.058921866415917,0.0015303125173042615
afforded,9,8,4.394445420987871e-05,14.47395936569476,0.0006360502445814185
affording,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
affords,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
affront,3,7,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
affronted,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
affronting,2,10,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
affronts,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
afloat,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
afraid,38,6,0.00018554325110837678,12.395956853693487,0.002299986135233455
after,299,5,0.0014599324231948595,9.419882692938968,0.013752392166113707
afternoon,6,9,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
afterward,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
afterwards,69,10,0.0003369074822757368,11.535359910358904,0.0038863490645434876
again,279,5,0.00136227808050624,9.519763055307886,0.012968564541859046
against,92,7,0.00044920997636764906,11.12032241108006,0.004995359767481912
againsts,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
age,30,3,0.00014648151403292905,12.736993771528555,0.0018657341318814899
agent,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
ages,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
aggrandizement,1,14,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
aggravation,4,11,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
agitate,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
agitated,5,8,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
agitation,31,9,0.00015136423116736002,12.689688056750198,0.0019207648764636245
agitations,4,10,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
ago,31,3,0.00015136423116736002,12.689688056750198,0.0019207648764636245
agonies,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
agony,14,5,6.835803988203356e-05,13.836529445079469,0.0009458380316356741
agree,13,5,6.347532274760258e-05,13.943444648995982,0.0008850646493083522
agreeable,63,9,0.00030761117946915097,11.666604443637157,0.0035887779533072635
agreed,24,6,0.00011718521122634323,13.058921866415917,0.0015303125173042615
agreeing,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
agreement,4,9,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
ah,18,2,8.788890841975742e-05,13.47395936569476,0.0011842115807430796
aid,5,3,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
ailed,1,5,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
ailment,2,7,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
ailments,2,8,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
aim,1,3,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
aimed,2,5,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
air,38,3,0.00018554325110837678,12.395956853693487,0.002299986135233455
airs,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
akin,1,4,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alacrity,6,8,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
alarm,24,5,0.00011718521122634323,13.058921866415917,0.0015303125173042615
alarmed,7,7,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
alarming,6,8,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
alarms,1,6,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alas,5,4,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
alertness,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alicia,2,6,9.765434268861936e-06,16.643884367137073,0.00016253475876581584
alienable,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alienated,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alienations,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alighted,1,8,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alike,12,5,5.8592605613171615e-05,14.058921866415917,0.0008237488642653024
alive,6,5,2.9296302806585808e-05,15.058921866415917,0.000441170734939237
all,1186,3,0.005790902521435128,7.43199607259107,0.043037964796063595
allayed,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alleged,1,7,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
allenham,18,8,8.788890841975742e-05,13.47395936569476,0.0011842115807430796
alleviation,1,11,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
alliance,5,8,2.4413585672154842e-05,15.321956272249711,0.00037406389211757854
alliances,1,9,4.882717134430968e-06,17.643884367137073,8.615009651733889e-05
allow,35,5,0.00017089509970508388,12.514601350192107,0.0021386840455104575
allowable,3,9,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
allowance,7,9,3.417901994101678e-05,14.836529445079469,0.0005070980357588538
allowances,4,10,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
allowed,32,7,0.00015624694830179098,12.643884367137073,0.0019755683470458895
allowing,3,8,1.4648151403292904e-05,16.05892186641592,0.00023523351887291144
alloy,4,5,1.9530868537723873e-05,15.643884367137073,0.00030553864899390777
