topic_id,phi_sum,theta_sum,h,top_terms,label,genre_historical,genre_gothic,genre_sea,genre_travel,genre_domestic,auth_AUSTEN,auth_MELVILLE,title_REDBURN HIS FIRST VO,title_THE CONFIDENCE MAN H,title_NORTHANGER ABBEY,title_MANSFIELD PARK,title_EMMA,title_TYPEE A ROMANCE OF T,title_WHITE JACKET OR THE ,title_LOVE AND FREINDSHIP ,title_MOBY DICK OR THE WHA,title_PIERRE OR THE AMBIGU,title_LADY SUSAN,title_SENSE AND SENSIBILIT,title_OMOO ADVENTURES IN T,title_PERSUASION,title_MARDI AND A VOYAGE T,title_ISRAEL POTTER HIS FI,title_PRIDE AND PREJUDICE,author,genre,title,0,1
0,462.9123484781459,6.816794594412643,3.45,story told whether acquaintance leaning beginning ask,0: story told whether acquaintance leaning beginning ask,0.0012183876257044863,0.0016348350399246158,0.003131664753927363,0.022965278627803228,0.0007946279840812657,0.0007425835232946844,0.007727966703096728,0.01199618904389316,0.05183564249095434,0.00023389089044519596,0.0003713746548582218,0.00044326029440936007,0.0001782001691359789,0.0009808292543852556,0.0015796307514762372,0.0014821148663284544,0.002015793536712879,0.002426439527790199,0.0005290932601901659,0.0007265947242798882,0.00032087640415652904,0.00176798196330784,0.0012183876257044863,0.0004428872814232993,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H,0.06077261,-2.0649264
1,4017.6204815767173,13.159782269100276,7.38,country may general half life little two,1: country may general half life little two,0.029776801164811132,0.014066359158342201,0.006357554059557446,0.024889700029095678,0.0065711506988107215,0.0077618690180353165,0.012432138843619375,0.011602020818404508,0.03375770005929549,0.01940018033174674,0.014514270472789017,0.0028285108228694213,0.037062207299793155,0.009112646368639246,0.011343293676543957,0.008124134742096278,0.012615934102416411,0.010169947059954054,0.0036475209083922694,0.010109392103221307,0.004290116861404904,0.0017097333733218133,0.029776801164811132,0.0026927845245812345,auth_MELVILLE,genre_historical,title_TYPEE A ROMANCE OF T,-0.13160078,-2.041413
2,24278.888005394037,61.16398649712776,8.66,could seemed might still little yet thought,2: could seemed might still little yet thought,0.049284706697898396,0.14410650610861747,0.03391006842592715,0.07364949847380663,0.022142887546830005,0.022648796639896124,0.06305798637576755,0.024148802260572613,0.08124536405391167,0.02759365003341328,0.019260254295031847,0.034697077107901805,0.20352016786111346,0.024164348323488447,0.016466919323595716,0.04608811697565266,0.17578982662029582,0.005820226409218988,0.023936672138559326,0.011463758700905555,0.03917688925458089,0.033794244377003485,0.049284706697898396,0.01812375711493739,auth_MELVILLE,genre_gothic,title_TYPEE A ROMANCE OF T,-1.1931684,-2.054886
3,1584.371525646773,11.49946244065667,5.88,may nature judge prove shall john life,3: may nature judge prove shall john life,0.0022476126394395278,0.0018232475741201903,0.0033215679187212116,0.03882906937818869,0.004966564508649358,0.004912934436949929,0.011598285104371065,0.003967079414574179,0.08753533470257782,0.004388743736145832,0.0017272128474831033,0.0024945661584999473,0.0016043382469243589,0.004771462210138548,0.030969611052715302,0.0030860800182778395,0.0011256126528676033,0.006576631307186315,0.0021314398820841806,0.0008056179058467871,0.0013808628189005557,0.002545963604743054,0.0022476126394395278,0.0021661711492859097,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H,-0.003872305,-2.0483735
4,5976.101654329583,17.66204680614765,6.89,ye said old dont say cried see,4: ye said old dont say cried see,0.02535738549912273,0.004613910210585061,0.027937876668095735,0.009689700345777673,0.0008566012602449044,0.0007968989042134763,0.020465744202518073,0.018163282534537587,0.009849513108921114,0.00021335652106758385,0.0006270111995231318,0.0008187656886175417,0.001308812055484952,0.020360958946587994,0.004758237366145858,0.05818430664941101,0.0058105520033485845,0.000285593002730192,0.001088481306333141,0.01298929855537578,3.1357499528009355e-05,0.014017299413607172,0.02535738549912273,5.471928194037966e-05,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA,0.10344952,-1.6881824
5,610.265097566758,3.6310142438819932,7.49,good friends little wife however island marriage,5: good friends little wife however island marriage,7.225297286215505e-05,0.00022113073761123773,0.001772596699697404,0.012703820397272476,0.0002917370127893199,0.00026872909392900774,0.004166186737070242,0.002968339093353581,0.017665906552149755,4.384524184273065e-05,0.0005537427752733403,0.0006859798559728654,0.004899484046459517,0.0008178202048792447,0.00025208094947989343,0.00235171398920192,0.0002693399513728494,0.0002855930027301924,4.4761149940907706e-05,0.010493572616646704,3.1357499528009355e-05,0.001334921545166458,7.225297286215505e-05,5.4719281940379655e-05,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H,-0.003942884,-2.0463204
6,2653.485042764921,9.404629746991782,7.61,light night seemed dark moment almost thought,6: light night seemed dark moment almost thought,0.0019894064165535763,0.03207476953690249,0.006342860716250337,0.0045672748679579005,0.0018770845802664388,0.001900826223233687,0.010317357398154984,0.008659484356928478,0.00838532607170566,0.0021328816367522574,0.0013635945635893116,0.0021647409364862484,4.697003843244621e-05,0.0036657572354287372,0.0035599800413979887,0.006957853266438154,0.04021686186062755,0.00175563778646232,0.0035454978698551813,0.002251003598037985,0.0014994101806320968,0.006244029456438941,0.0019894064165535763,0.00022232670811907917,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU,-0.094297595,-2.014129
7,18660.04292911091,39.04193946416154,8.52,good said say little dont well think,7: good said say little dont well think,0.045080125482886965,0.01817527206715513,0.01732616583236403,0.1201805200228263,0.005667039894405316,0.0059655761679365035,0.043587572969494996,0.014508154700563254,0.25852202314651185,0.008883527486644576,0.009057095140087956,0.0025416953355033136,0.0044515930828712205,0.01443585366661817,0.01407897962288103,0.013865094168732854,0.020701974540802744,0.0061662678561504505,0.0026983426198377764,0.016327449715835732,0.00533413759266779,0.022266378535493143,0.045080125482886965,0.004736563140338978,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H,-0.9020138,-2.2498455
8,1424.170556811147,7.203922490831547,4.17,lady street ever mrs house speak pray,8: lady street ever mrs house speak pray,0.0030493595583734982,0.0016817252584997659,0.0032365843974200945,0.0058145963569289265,0.013372708973080252,0.012188493507177692,0.003685841952275512,0.016608167078120115,0.011407161500667808,0.000613742340452651,0.0033312893131869983,0.0003810705795402264,0.002040523366734694,0.0005524441677437651,0.007548468471439966,0.0003466295932217497,0.0019721416660388935,0.06459933261748853,0.005827111060533054,0.0012412746341253337,0.015021784545613577,0.0011995137051892877,0.0030493595583734982,0.006384521101355134,auth_AUSTEN,genre_domestic,title_LADY SUSAN,0.3230242,-2.2877634
9,7273.81462978088,20.7404879069393,7.64,boat whale ship fish line water sea,9: boat whale ship fish line water sea,0.011524695605613101,0.0005140418309182982,0.035311488380692035,0.012338480930244512,0.0001695687557299686,0.00015789980683624292,0.024338528672301168,0.00617314311934433,0.01857970608567469,4.384524184273064e-05,0.0002878903413259775,3.551562582602815e-05,0.009389766632280505,0.004259444901497074,0.00025208094947989343,0.09219314868255252,0.0006419023068949876,0.000285593002730192,4.4761149940907706e-05,0.006710993395391577,0.0002630446925789447,0.021362307913073267,0.011524695605613101,0.00015240739612633762,auth_MELVILLE,genre_sea,title_MOBY DICK OR THE WHA,0.14312413,-1.5546571
10,544.907142468406,4.373005547741485,5.97,stone boy yet end beneath world simple,10: stone boy yet end beneath world simple,0.004802285897159782,0.012165596224993363,0.001609759065758892,0.007889116651375592,0.00014675094268659127,0.00016872494108022314,0.005078413432259636,0.003944367062796622,0.016404977851263863,0.00038350305441152747,0.00012946274637807298,8.235121176821986e-05,0.0020087304994591804,0.0007744934617670785,0.0002520809494798934,0.0006219101538049465,0.015369498753835791,0.000285593002730192,0.00013839406395798983,0.0009806486169269804,3.135749952800935e-05,0.001769082971645806,0.004802285897159782,0.0001359093126985326,auth_MELVILLE,genre_gothic,title_THE CONFIDENCE MAN H,0.012622948,-2.0498571
11,78655.64562357687,130.9668435038613,8.97,could much said think might know never,11: could much said think might know never,0.004364724068553519,0.06737582636131038,0.00750960251844718,0.016864549143990278,0.3756702110269947,0.3676852791241411,0.009599953266350748,0.011023053337635468,0.010673202575032223,0.2896390092349599,0.4664379272391601,0.28647663447060134,0.040252924960955186,0.00824546117828215,0.18231240588607625,0.0046407190000860524,0.0069358380360197685,0.5094575914221644,0.42225338095577736,0.01396231028337344,0.25602502941403166,0.007787334646305318,0.004364724068553519,0.37970999663141725,auth_AUSTEN,genre_domestic,title_LADY SUSAN,-1.7633252,-2.8057785
12,12565.149183313224,40.44262473171736,7.94,old round fine young book much full,12: old round fine young book much full,0.03180746966497865,0.041733023033338555,0.05498996882526864,0.02395470461623278,0.003095416636550482,0.0035804516567877393,0.046172651621588526,0.09065746019450509,0.027028651531133527,0.008321277822332556,0.0027674520316475965,0.0042099058784521816,0.0036902401157162777,0.050703639980312167,0.00578502869182224,0.027766912284592816,0.050818673046857714,0.003147713896331919,0.0033170317324510428,0.02898319938058026,0.005685095786107665,0.06201078795116011,0.03180746966497865,5.471928194037966e-05,auth_MELVILLE,genre_sea,title_REDBURN HIS FIRST VO,0.10730791,-3.0069337
13,21287.938288156285,47.11292343663858,8.64,mother every mrs house could father lady,13: mother every mrs house could father lady,0.004175342753000421,0.031628670790833195,0.003322948126690757,0.0066901001210820195,0.1299156052309192,0.12536209501405834,0.0061670396493449225,0.013238042382854366,0.006920894348116786,0.08085520482990273,0.03902638994548548,0.04486631472987569,0.0075388091249729335,0.0012120873403080308,0.4022590828639241,0.0028071093541145306,0.01824250802582305,0.1446123295836367,0.20333807747807328,0.006084885650772037,0.08394626753030472,0.0007178588496752169,0.004175342753000421,0.11899305837947165,auth_AUSTEN,genre_domestic,title_LOVE AND FREINDSHIP ,-0.68374205,-2.7588253
14,7626.186624391008,16.571282873765337,7.14,mr could mrs might family marriage temper,14: mr could mrs might family marriage temper,0.0009341800128044505,0.009482321777097555,0.0020446755511046256,0.006358246274025843,0.0423526495745398,0.040598401177635135,0.0035428433887473407,0.005177683395292119,0.012791884413554293,0.023452037814341124,0.0338202960651438,0.054320557259516664,0.0020810629331823884,0.002193386856683523,0.0031766601542261683,0.0009362598463710965,0.005683539345917284,0.050191617191951435,0.020421744330014206,0.0010704023841614267,0.060277747838484046,0.0015057284500448488,0.0009341800128044505,0.05934424012277819,auth_AUSTEN,genre_domestic,title_PERSUASION,-0.41936386,-2.6222537
15,3858.3312245177144,13.892061104643084,7.08,world god things thing soul yet men,15: world god things thing soul yet men,0.00197734623585648,0.033313519300333445,0.015670614764240705,0.0036670993471250766,0.0012226757947385064,0.0012599948607061333,0.015848497436667327,0.0058519689692483525,0.007155900968069757,0.0016247586345187462,0.00044164797199778286,0.00041113507033135486,0.0017777184988022646,0.010788212794208087,0.0022743236965383625,0.016269137292576973,0.04193063842875676,0.0026024800276496962,0.001993527032956191,0.0006213286514903753,0.0010130688801109947,0.021477995504456063,0.00197734623585648,0.0006784226173871765,auth_MELVILLE,genre_gothic,title_PIERRE OR THE AMBIGU,-0.10838053,-2.002761
16,344.40762852270655,3.9661919751398047,7.37,land sea far forecastle nothing might hours,16: land sea far forecastle nothing might hours,7.225297286215505e-05,0.00010566286745720041,0.00410050665592555,0.009023503766495071,9.083632099899583e-05,8.647487353239635e-05,0.004632128667505864,0.002968339093353581,0.018266474607646653,4.384524184273064e-05,3.088075539016887e-05,3.551562582602815e-05,4.697003843244621e-05,9.938114452802742e-05,0.0002520809494798934,0.0026575951803175985,0.0001224729235453457,0.000285593002730192,4.476114994090769e-05,0.0026007570719888138,3.1357499528009355e-05,0.007462221530608047,7.225297286215505e-05,5.4719281940379655e-05,auth_MELVILLE,genre_travel,title_THE CONFIDENCE MAN H,0.006513955,-2.043255
