book_id,source_file_path,author,title,chap_regex,book_len,n_chaps,genre,mood,label
105,../data/gutenberg/austen-melville-set/AUSTEN_JANE_PERSUASION-pg105.txt,"AUSTEN, JANE",PERSUASION,^Chapter\s+\d+$,83624,24,domestic,romance,AUSTEN–PERSUASION–D–105
121,../data/gutenberg/austen-melville-set/AUSTEN_JANE_NORTHANGER_ABBEY-pg121.txt,"AUSTEN, JANE",NORTHANGER ABBEY,^CHAPTER\s+\d+$,77601,31,gothic,satire,AUSTEN–NORTHANGER–G–121
141,../data/gutenberg/austen-melville-set/AUSTEN_JANE_MANSFIELD_PARK-pg141.txt,"AUSTEN, JANE",MANSFIELD PARK,^CHAPTER\s+[IVXLCM]+$,160378,48,domestic,satire,AUSTEN–MANSFIELD –D–141
158,../data/gutenberg/austen-melville-set/AUSTEN_JANE_EMMA-pg158.txt,"AUSTEN, JANE",EMMA,^\s*CHAPTER\s+[IVXLCM]+\s*$,160926,55,domestic,romance,AUSTEN–EMMA–D–158
161,../data/gutenberg/austen-melville-set/AUSTEN_JANE_SENSE_AND_SENSIBILITY-pg161.txt,"AUSTEN, JANE",SENSE AND SENSIBILIT,^CHAPTER\s+\d+$,119873,50,domestic,romance,AUSTEN–SENSE AND –D–161
946,../data/gutenberg/austen-melville-set/AUSTEN_JANE_LADY_SUSAN-pg946.txt,"AUSTEN, JANE",LADY SUSAN,^\s*[IVXLCM]+\s*$,23116,41,domestic,romance,AUSTEN–LADY SUSAN–D–946
1212,../data/gutenberg/austen-melville-set/AUSTEN_JANE_LOVE_AND_FREINDSHIP_SIC_-pg1212.txt,"AUSTEN, JANE",LOVE AND FREINDSHIP ,^\s*LETTER .* to .*$,33265,24,domestic,satire,AUSTEN–LOVE AND F–D–1212
1342,../data/gutenberg/austen-melville-set/AUSTEN_JANE_PRIDE_AND_PREJUDICE-pg1342.txt,"AUSTEN, JANE",PRIDE AND PREJUDICE,^Chapter\s+\d+$,122126,61,domestic,romance,AUSTEN–PRIDE AND –D–1342
1900,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_TYPEE_A_ROMANCE_OF_THE_SOUTH_SEAS-pg1900.txt,"MELVILLE, HERMAN",TYPEE A ROMANCE OF T,^CHAPTER ,108021,34,travel,adventure,MELVILLE–TYPEE A RO–T–1900
2701,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_MOBY_DICK_OR_THE_WHALE-pg2701.txt,"MELVILLE, HERMAN",MOBY DICK OR THE WHA,^(?:ETYMOLOGY|EXTRACTS|CHAPTER),215504,138,sea,adventure,MELVILLE–MOBY DICK –S–2701
4045,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_OMOO_ADVENTURES_IN_THE_SOUTH_SEAS-pg4045.txt,"MELVILLE, HERMAN",OMOO ADVENTURES IN T,^\s*CHAPTER\s+[IVXLCM]+\.\s*$,102352,82,travel,adventure,MELVILLE–OMOO ADVEN–T–4045
8118,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_REDBURN_HIS_FIRST_VOYAGE_BEING_THE_SAILOR_BOY_CONFESSIONS_AND_REMINISCENCES_OF_THE_SON_OF_A_GENTLEMAN_IN_THE_MERCHANT_NAVY-pg8118.txt,"MELVILLE, HERMAN",REDBURN HIS FIRST VO,^\s*[IVXLCM]+\. .*$,119243,78,sea,adventure,MELVILLE–REDBURN HI–S–8118
10712,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_WHITE_JACKET_OR_THE_WORLD_ON_A_MAN_OF_WAR-pg10712.txt,"MELVILLE, HERMAN",WHITE JACKET OR THE ,^CHAPTER\s+[IVXLCM]+\.\s*$,143310,92,sea,critical,MELVILLE–WHITE JACK–S–10712
13720,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_MARDI_AND_A_VOYAGE_THITHER_VOL_I-pg13720.txt,"MELVILLE, HERMAN",MARDI AND A VOYAGE T,^\s*CHAPTER\s+[IVXLCM]+\s*$,96878,104,sea,adventure,MELVILLE–MARDI AND –S–13720
13721,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_MARDI_AND_A_VOYAGE_THITHER_VOL_II-pg13721.txt,"MELVILLE, HERMAN",MARDI AND A VOYAGE T,^\s*CHAPTER\s+[IVXLCM]+\s*$,102092,91,sea,adventure,MELVILLE–MARDI AND –S–13721
15422,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_ISRAEL_POTTER_HIS_FIFTY_YEARS_OF_EXILE-pg15422.txt,"MELVILLE, HERMAN",ISRAEL POTTER HIS FI,^\s*CHAPTER\s+[IVXLCM]+\.,65516,27,historical,adventure,MELVILLE–ISRAEL POT–H–15422
21816,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_THE_CONFIDENCE_MAN_HIS_MASQUERADE-pg21816.txt,"MELVILLE, HERMAN",THE CONFIDENCE MAN H,^CHAPTER\s+[IVXLCM]+\.?$,95315,90,travel,satire,MELVILLE–THE CONFID–T–21816
34970,../data/gutenberg/austen-melville-set/MELVILLE_HERMAN_PIERRE_OR_THE_AMBIGUITIES-pg34970.txt,"MELVILLE, HERMAN",PIERRE OR THE AMBIGU,^\s*[IVXLCM]+\.\s*$,155056,114,gothic,psychological,MELVILLE–PIERRE OR –G–34970
