term_str,n,n_chars,p,i,max_pos,n_pos,cat_pos,stop,stem_porter,stem_snowball,stem_lancaster
0,2,1,1.0082037539458574e-06,19.919781338123542,CD,1,{'CD'},0,0,0,0
1,21,1,1.0586139416431502e-05,16.527463915344782,CD,3,"{'CD', 'NNP', 'NN'}",0,1,1,1
10,6,2,3.0246112618375723e-06,18.334818837402388,CD,1,{'CD'},0,10,10,10
100,2,3,1.0082037539458574e-06,19.919781338123542,CD,1,{'CD'},0,100,100,100
1000,2,4,1.0082037539458574e-06,19.919781338123542,CD,1,{'CD'},0,1000,1000,1000
10000,3,5,1.5123056309187862e-06,19.334818837402388,CD,1,{'CD'},0,10000,10000,10000
10440,1,5,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,10440,10440,10440
10800,2,5,1.0082037539458574e-06,19.919781338123542,CD,1,{'CD'},0,10800,10800,10800
10th,2,4,1.0082037539458574e-06,19.919781338123542,CD,2,"{'NNS', 'CD'}",0,10th,10th,10th
118952,1,6,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,118952,118952,118952
11th,2,4,1.0082037539458574e-06,19.919781338123542,CD,1,{'CD'},0,11th,11th,11th
12,5,2,2.5205093848646436e-06,18.59785324323618,CD,1,{'CD'},0,12,12,12
125000,1,6,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,125000,125000,125000
12th,1,4,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,12th,12th,12th
13,1,2,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,13,13,13
13000,1,5,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,13000,13000,13000
139,2,3,1.0082037539458574e-06,19.919781338123542,CD,1,{'CD'},0,139,139,139
1399,1,4,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,1399,1399,1399
13th,3,4,1.5123056309187862e-06,19.334818837402388,CD,1,{'CD'},0,13th,13th,13th
140,1,3,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,140,140,140
144000,1,6,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,144000,144000,144000
1492,1,4,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,1492,1492,1492
14th,3,4,1.5123056309187862e-06,19.334818837402388,CD,1,{'CD'},0,14th,14th,14th
15,2,2,1.0082037539458574e-06,19.919781338123542,CD,1,{'CD'},0,15,15,15
150,1,3,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,150,150,150
150000,1,6,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,150000,150000,150000
1571,1,4,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,1571,1571,1571
1586,1,4,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,1586,1586,1586
1588,1,4,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,1588,1588,1588
1595,1,4,5.041018769729287e-07,20.919781338123542,CD,1,{'CD'},0,1595,1595,1595
15th,5,4,2.5205093848646436e-06,18.59785324323618,JJ,2,"{'CD', 'JJ'}",0,15th,15th,15th
