chap_num,para_num,sent_num,token_num,token_str,term_str
1,1,0,0,The,the
1,1,0,1,family,family
1,1,0,2,of,of
1,1,0,3,Dashwood,dashwood
1,1,0,4,had,had
1,1,0,5,long,long
1,1,0,6,been,been
1,1,0,7,settled,settled
1,1,0,8,in,in
1,1,0,9,Sussex,sussex
1,1,1,0,Their,their
1,1,1,1,estate,estate
1,1,1,2,was,was
1,1,1,3,large,large
1,1,1,4,and,and
1,1,1,5,their,their
1,1,1,6,residence,residence
1,1,1,7,was,was
1,1,1,8,at,at
1,1,1,9,Norland,norland
1,1,1,10,Park,park
1,1,1,11,in,in
1,1,1,12,the,the
1,1,1,13,centre,centre
1,1,1,14,of,of
1,1,1,15,their,their
1,1,1,16,property,property
1,1,1,17,where,where
1,1,1,18,for,for
1,1,1,19,many,many
1,1,1,20,generations,generations
1,1,1,21,they,they
1,1,1,22,had,had
1,1,1,23,lived,lived
1,1,1,24,in,in
1,1,1,25,so,so
1,1,1,26,respectable,respectable
1,1,1,27,a,a
1,1,1,28,manner,manner
1,1,1,29,as,as
1,1,1,30,to,to
1,1,1,31,engage,engage
1,1,1,32,the,the
1,1,1,33,general,general
1,1,1,34,good,good
1,1,1,35,opinion,opinion
1,1,1,36,of,of
1,1,1,37,their,their
1,1,1,38,surrounding,surrounding
1,1,1,39,acquaintance,acquaintance
1,1,2,0,The,the
1,1,2,1,late,late
1,1,2,2,owner,owner
1,1,2,3,of,of
1,1,2,4,this,this
1,1,2,5,estate,estate
1,1,2,6,was,was
1,1,2,7,a,a
1,1,2,8,single,single
1,1,2,9,man,man
1,1,2,10,who,who
1,1,2,11,lived,lived
1,1,2,12,to,to
1,1,2,13,a,a
1,1,2,14,very,very
1,1,2,15,advanced,advanced
1,1,2,16,age,age
1,1,2,17,and,and
1,1,2,18,who,who
1,1,2,19,for,for
1,1,2,20,many,many
1,1,2,21,years,years
1,1,2,22,of,of
1,1,2,23,his,his
1,1,2,24,life,life
1,1,2,25,had,had
1,1,2,26,a,a
1,1,2,27,constant,constant
1,1,2,28,companion,companion
1,1,2,29,and,and
1,1,2,30,housekeeper,housekeeper
1,1,2,31,in,in
1,1,2,32,his,his
1,1,2,33,sister,sister
1,1,3,0,But,but
1,1,3,1,her,her
1,1,3,2,death,death
1,1,3,3,which,which
1,1,3,4,happened,happened
1,1,3,5,ten,ten
1,1,3,6,years,years
1,1,3,7,before,before
1,1,3,8,his,his
1,1,3,9,own,own
1,1,3,10,produced,produced
1,1,3,11,a,a
1,1,3,12,great,great
1,1,3,13,alteration,alteration
1,1,3,14,in,in
1,1,3,15,his,his
1,1,3,16,home,home
1,1,4,0,for,for
1,1,4,1,to,to
1,1,4,2,supply,supply
1,1,4,3,her,her
1,1,4,4,loss,loss
1,1,4,5,he,he
1,1,4,6,invited,invited
1,1,4,7,and,and
1,1,4,8,received,received
1,1,4,9,into,into
1,1,4,10,his,his
1,1,4,11,house,house
1,1,4,12,the,the
1,1,4,13,family,family
1,1,4,14,of,of
1,1,4,15,his,his
1,1,4,16,nephew,nephew
1,1,4,17,Mr,mr
1,1,5,0,Henry,henry
1,1,5,1,Dashwood,dashwood
1,1,5,2,the,the
1,1,5,3,legal,legal
1,1,5,4,inheritor,inheritor
1,1,5,5,of,of
