term_str,bing_negative,bing_positive,bing_sentiment
abnormal,1,0,-1
abolish,1,0,-1
abominable,1,0,-1
abominably,1,0,-1
abominate,1,0,-1
abomination,1,0,-1
abort,1,0,-1
aborted,1,0,-1
aborts,1,0,-1
abound,0,1,1
abounds,0,1,1
abrade,1,0,-1
abrasive,1,0,-1
abrupt,1,0,-1
abruptly,1,0,-1
abscond,1,0,-1
absence,1,0,-1
absentee,1,0,-1
absurd,1,0,-1
absurdity,1,0,-1
absurdly,1,0,-1
absurdness,1,0,-1
abundance,0,1,1
abundant,0,1,1
abuse,1,0,-1
abused,1,0,-1
abuses,1,0,-1
abusive,1,0,-1
abysmal,1,0,-1
abysmally,1,0,-1
abyss,1,0,-1
accessable,0,1,1
accessible,0,1,1
accidental,1,0,-1
acclaim,0,1,1
acclaimed,0,1,1
acclamation,0,1,1
accolade,0,1,1
accolades,0,1,1
accommodative,0,1,1
accomodative,0,1,1
accomplish,0,1,1
accomplished,0,1,1
accomplishment,0,1,1
accomplishments,0,1,1
accost,1,0,-1
accurate,0,1,1
accurately,0,1,1
accursed,1,0,-1
accusation,1,0,-1
accusations,1,0,-1
accuse,1,0,-1
accuses,1,0,-1
accusing,1,0,-1
accusingly,1,0,-1
acerbate,1,0,-1
acerbic,1,0,-1
acerbically,1,0,-1
ache,1,0,-1
ached,1,0,-1
aches,1,0,-1
achey,1,0,-1
achievable,0,1,1
achievement,0,1,1
achievements,0,1,1
achievible,0,1,1
aching,1,0,-1
acrid,1,0,-1
acridly,1,0,-1
acridness,1,0,-1
acrimonious,1,0,-1
acrimoniously,1,0,-1
acrimony,1,0,-1
acumen,0,1,1
adamant,1,0,-1
adamantly,1,0,-1
adaptable,0,1,1
adaptive,0,1,1
addict,1,0,-1
addicted,1,0,-1
addicting,1,0,-1
addicts,1,0,-1
adequate,0,1,1
adjustable,0,1,1
admirable,0,1,1
admirably,0,1,1
admiration,0,1,1
admire,0,1,1
admirer,0,1,1
admiring,0,1,1
admiringly,0,1,1
admonish,1,0,-1
admonisher,1,0,-1
admonishingly,1,0,-1
admonishment,1,0,-1
admonition,1,0,-1
adorable,0,1,1
adore,0,1,1
adored,0,1,1
adorer,0,1,1
adoring,0,1,1
adoringly,0,1,1
adroit,0,1,1
adroitly,0,1,1
adulate,0,1,1
adulation,0,1,1
adulatory,0,1,1
adulterate,1,0,-1
