term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity,bing_negative,bing_positive,bing_sentiment,syu_sentiment,gi_sentiment
abandon,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,,,,-0.75,-1.0
abandoned,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,,,,-0.5,
abandoner,,,,,,,,,,,,,,,-0.25,
abandonment,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,,,,-0.25,-1.0
abandons,,,,,,,,,,,,,,,-1.0,
abate,,,,,,,,,,,,,,,,-1.0
abdicate,,,,,,,,,,,,,,,,-1.0
abducted,,,,,,,,,,,,,,,-1.0,
abduction,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,,,,-0.5,
abductions,,,,,,,,,,,,,,,-1.0,
aberrant,,,,,,,,,,,,,,,-0.6,
aberration,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,,,,-0.8,
abhor,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,,,,-0.5,-1.0
abhorred,,,,,,,,,,,,,,,-1.0,
abhorrent,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,,,,-0.5,
abhors,,,,,,,,,,,,,,,-1.0,
abide,,,,,,,,,,,,,,,,1.0
abilities,,,,,,,,,,,,,,,0.6,
ability,,,,,,,,,,,,,,,0.5,1.0
abject,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,,,,-1.0,-1.0
ablaze,,,,,,,,,,,,,,,-0.25,
able,,,,,,,,,,,,,,,,1.0
abnormal,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-0.5,-1.0
aboard,,,,,,,,,,,,,,,0.25,
abolish,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-0.5,-1.0
abominable,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-0.5,-1.0
abominably,,,,,,,,,,,,1.0,0.0,-1.0,-1.0,
abominate,,,,,,,,,,,,1.0,0.0,-1.0,-1.0,
abomination,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-0.5,
abort,,,,,,,,,,,,1.0,0.0,-1.0,-0.5,
aborted,,,,,,,,,,,,1.0,0.0,-1.0,-0.8,
abortion,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,,,,-0.8,
abortive,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,,,,-1.0,
aborts,,,,,,,,,,,,1.0,0.0,-1.0,-0.6,
abound,,,,,,,,,,,,0.0,1.0,1.0,0.25,1.0
abounds,,,,,,,,,,,,0.0,1.0,1.0,0.25,
abrade,,,,,,,,,,,,1.0,0.0,-1.0,,
abrasion,,,,,,,,,,,,,,,-0.6,
abrasive,,,,,,,,,,,,1.0,0.0,-1.0,-0.5,-1.0
abrogate,,,,,,,,,,,,,,,-0.4,
