term_str,labmt_happiness,labmt_z
laughter,8.5,1.8802164994244928
happiness,8.44,1.8249121009364218
love,8.42,1.806477301440399
happy,8.3,1.6958685044642587
laughed,8.26,1.6589989054722105
laugh,8.22,1.6221293064801645
laughing,8.2,1.60369450698414
excellent,8.18,1.5852597074881167
laughs,8.18,1.5852597074881167
joy,8.16,1.5668249079920935
successful,8.16,1.5668249079920935
win,8.12,1.5299553090000457
rainbow,8.1,1.5115205095040225
smile,8.1,1.5115205095040225
won,8.1,1.5115205095040225
pleasure,8.08,1.4930857100079997
smiled,8.08,1.4930857100079997
rainbows,8.06,1.4746509105119765
winning,8.04,1.456216111015952
celebration,8.02,1.4377813115199287
enjoyed,8.02,1.4377813115199287
healthy,8.02,1.4377813115199287
music,8.02,1.4377813115199287
celebrating,8.0,1.4193465120239055
congratulations,8.0,1.4193465120239055
weekend,8.0,1.4193465120239055
celebrate,7.98,1.4009117125278823
comedy,7.98,1.4009117125278823
jokes,7.98,1.4009117125278823
rich,7.98,1.4009117125278823
victory,7.98,1.4009117125278823
christmas,7.96,1.3824769130318586
free,7.96,1.3824769130318586
friendship,7.96,1.3824769130318586
fun,7.96,1.3824769130318586
holidays,7.96,1.3824769130318586
loved,7.96,1.3824769130318586
loves,7.96,1.3824769130318586
loving,7.96,1.3824769130318586
beach,7.94,1.3640421135358354
hahaha,7.94,1.3640421135358354
kissing,7.94,1.3640421135358354
sunshine,7.94,1.3640421135358354
beautiful,7.92,1.3456073140398117
delicious,7.92,1.3456073140398117
friends,7.92,1.3456073140398117
funny,7.92,1.3456073140398117
outstanding,7.92,1.3456073140398117
paradise,7.92,1.3456073140398117
sweetest,7.92,1.3456073140398117
vacation,7.92,1.3456073140398117
butterflies,7.92,1.3456073140398117
freedom,7.9,1.3271725145437885
flower,7.88,1.3087377150477644
great,7.88,1.3087377150477644
sunlight,7.88,1.3087377150477644
sweetheart,7.88,1.3087377150477644
sweetness,7.88,1.3087377150477644
award,7.86,1.2903029155517416
chocolate,7.86,1.2903029155517416
hahahaha,7.86,1.2903029155517416
heaven,7.86,1.2903029155517416
peace,7.86,1.2903029155517416
splendid,7.86,1.2903029155517416
success,7.86,1.2903029155517416
enjoying,7.84,1.2718681160557175
kissed,7.84,1.2718681160557175
attraction,7.82,1.2534333165596943
celebrated,7.8,1.2349985170636706
hero,7.8,1.2349985170636706
hugs,7.8,1.2349985170636706
positive,7.8,1.2349985170636706
sun,7.8,1.2349985170636706
birthday,7.78,1.2165637175676474
blessed,7.78,1.2165637175676474
fantastic,7.78,1.2165637175676474
winner,7.78,1.2165637175676474
delight,7.78,1.2165637175676474
beauty,7.76,1.1981289180716233
butterfly,7.76,1.1981289180716233
entertainment,7.76,1.1981289180716233
funniest,7.76,1.1981289180716233
honesty,7.76,1.1981289180716233
sky,7.76,1.1981289180716233
smiles,7.76,1.1981289180716233
succeed,7.76,1.1981289180716233
wonderful,7.76,1.1981289180716233
glorious,7.74,1.1796941185756005
kisses,7.74,1.1796941185756005
promotion,7.74,1.1796941185756005
family,7.72,1.1612593190795764
gift,7.72,1.1612593190795764
humor,7.72,1.1612593190795764
romantic,7.72,1.1612593190795764
cupcakes,7.7,1.1428245195835531
festival,7.7,1.1428245195835531
hahahahaha,7.7,1.1428245195835531
honour,7.7,1.1428245195835531
relax,7.7,1.1428245195835531
weekends,7.7,1.1428245195835531
angel,7.68,1.1243897200875295
b-day,7.68,1.1243897200875295
bonus,7.68,1.1243897200875295
brilliant,7.68,1.1243897200875295
diamonds,7.68,1.1243897200875295
holiday,7.68,1.1243897200875295
lucky,7.68,1.1243897200875295
mother,7.68,1.1243897200875295
super,7.68,1.1243897200875295
amazing,7.66,1.1059549205915062
angels,7.66,1.1059549205915062
enjoy,7.66,1.1059549205915062
friend,7.66,1.1059549205915062
friendly,7.66,1.1059549205915062
mother's,7.66,1.1059549205915062
profit,7.66,1.1059549205915062
finest,7.66,1.1059549205915062
bday,7.64,1.0875201210954826
champion,7.64,1.0875201210954826
grandmother,7.64,1.0875201210954826
haha,7.64,1.0875201210954826
kiss,7.64,1.0875201210954826
kitten,7.64,1.0875201210954826
miracle,7.64,1.0875201210954826
mom,7.64,1.0875201210954826
sweet,7.64,1.0875201210954826
blessings,7.62,1.0690853215994593
bright,7.62,1.0690853215994593
cutest,7.62,1.0690853215994593
entertaining,7.62,1.0690853215994593
excited,7.62,1.0690853215994593
excitement,7.62,1.0690853215994593
joke,7.62,1.0690853215994593
millionaire,7.62,1.0690853215994593
prize,7.62,1.0690853215994593
succeeded,7.62,1.0690853215994593
successfully,7.62,1.0690853215994593
winners,7.62,1.0690853215994593
shines,7.6,1.0506505221034352
awesome,7.6,1.0506505221034352
genius,7.6,1.0506505221034352
achievement,7.58,1.0322157226074125
cake,7.58,1.0322157226074125
cheers,7.58,1.0322157226074125
exciting,7.58,1.0322157226074125
goodness,7.58,1.0322157226074125
hug,7.58,1.0322157226074125
income,7.58,1.0322157226074125
party,7.58,1.0322157226074125
puppy,7.58,1.0322157226074125
smiling,7.58,1.0322157226074125
song,7.58,1.0322157226074125
succeeding,7.58,1.0322157226074125
tasty,7.58,1.0322157226074125
victories,7.58,1.0322157226074125
achieved,7.56,1.0137809231113883
billion,7.56,1.0137809231113883
cakes,7.56,1.0137809231113883
easier,7.56,1.0137809231113883
flowers,7.56,1.0137809231113883
gifts,7.56,1.0137809231113883
gold,7.56,1.0137809231113883
merry,7.56,1.0137809231113883
families,7.54,0.9953461236153653
handsome,7.54,0.9953461236153653
lovers,7.54,0.9953461236153653
affection,7.53,0.9861287238673537
candy,7.52,0.9769113241193415
cute,7.52,0.9769113241193415
diamond,7.52,0.9769113241193415
earnings,7.52,0.9769113241193415
interesting,7.52,0.9769113241193415
peacefully,7.52,0.9769113241193415
praise,7.52,0.9769113241193415
relaxing,7.52,0.9769113241193415
roses,7.52,0.9769113241193415
saturdays,7.52,0.9769113241193415
faithful,7.51,0.9676939243713298
heavens,7.51,0.9676939243713298
cherish,7.5,0.9584765246233182
comfort,7.5,0.9584765246233182
congrats,7.5,0.9584765246233182
cupcake,7.5,0.9584765246233182
earn,7.5,0.9584765246233182
extraordinary,7.5,0.9584765246233182
glory,7.5,0.9584765246233182
hilarious,7.5,0.9584765246233182
moonlight,7.5,0.9584765246233182
optimistic,7.5,0.9584765246233182
peaceful,7.5,0.9584765246233182
romance,7.5,0.9584765246233182
feast,7.49,0.9492591248753066
attractive,7.48,0.9400417251272952
glad,7.48,0.9400417251272952
grandma,7.48,0.9400417251272952
internet,7.48,0.9400417251272952
pleasant,7.48,0.9400417251272952
profits,7.48,0.9400417251272952
smart,7.48,0.9400417251272952
x-mas,7.48,0.9400417251272952
babies,7.46,0.9216069256312713
cheer,7.46,0.9216069256312713
courage,7.46,0.9216069256312713
enthusiasm,7.46,0.9216069256312713
