term_str,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust,nrc_polarity
abandon,0,0,0,1,0,1,0,1,0,0,-1
abandoned,1,0,0,1,0,1,0,1,0,0,-1
abandonment,1,0,0,1,0,1,0,1,1,0,-1
abduction,0,0,0,1,0,1,0,1,1,0,-1
aberration,0,0,1,0,0,1,0,0,0,0,-1
abhor,1,0,1,1,0,1,0,0,0,0,-1
abhorrent,1,0,1,1,0,1,0,0,0,0,-1
abject,0,0,1,0,0,1,0,0,0,0,-1
abnormal,0,0,1,0,0,1,0,0,0,0,-1
abolish,1,0,0,0,0,1,0,0,0,0,-1
abominable,0,0,1,1,0,1,0,0,0,0,-1
abomination,1,0,1,1,0,1,0,0,0,0,-1
abortion,0,0,1,1,0,1,0,1,0,0,-1
abortive,0,0,0,0,0,1,0,1,0,0,-1
abscess,0,0,0,0,0,1,0,1,0,0,-1
absence,0,0,0,1,0,1,0,1,0,0,-1
absent,0,0,0,0,0,1,0,1,0,0,-1
absentee,0,0,0,0,0,1,0,1,0,0,-1
absolution,0,0,0,0,1,0,1,0,0,1,1
abundance,0,1,1,0,1,1,1,0,0,1,0
abundant,0,0,0,0,1,0,1,0,0,0,1
abuse,1,0,1,1,0,1,0,1,0,0,-1
abysmal,0,0,0,0,0,1,0,1,0,0,-1
abyss,0,0,0,1,0,1,0,1,0,0,-1
academic,0,0,0,0,0,0,1,0,0,1,1
accident,0,0,0,1,0,1,0,1,1,0,-1
accidental,0,0,0,1,0,1,0,0,1,0,-1
accolade,0,1,0,0,1,0,1,0,1,1,1
accompaniment,0,1,0,0,1,0,1,0,0,1,1
accomplish,0,0,0,0,1,0,1,0,0,0,1
accomplished,0,0,0,0,1,0,1,0,0,0,1
accord,0,0,0,0,0,0,1,0,0,1,1
accountability,0,0,0,0,0,0,1,0,0,1,1
accountable,0,0,0,0,0,0,1,0,0,1,1
accredited,0,0,0,0,0,0,1,0,0,1,1
accurate,0,0,0,0,0,0,1,0,0,1,1
accursed,1,0,0,1,0,1,0,1,0,0,-1
accusation,1,0,1,0,0,1,0,0,0,0,-1
accused,1,0,0,1,0,1,0,0,0,0,-1
accuser,1,0,0,1,0,1,0,0,0,0,-1
accusing,1,0,0,1,0,1,0,0,0,0,-1
ache,0,0,0,0,0,1,0,1,0,0,-1
achieve,0,0,0,0,1,0,1,0,0,1,1
achievement,0,1,0,0,1,0,1,0,0,1,1
aching,0,0,0,0,0,1,0,1,0,0,-1
acquiring,0,1,0,0,0,0,1,0,0,0,1
acrobat,0,0,0,1,1,0,1,0,0,1,1
actionable,1,0,1,0,0,1,0,0,0,0,-1
adder,1,0,1,1,0,1,0,1,0,0,-1
addresses,0,1,0,0,0,0,1,0,0,0,1
adjudicate,0,0,0,1,0,1,0,0,0,0,-1
admirable,0,0,0,0,1,0,1,0,0,1,1
admiral,0,0,0,0,0,0,1,0,0,1,1
admiration,0,0,0,0,1,0,1,0,0,1,1
admire,0,0,0,0,0,0,1,0,0,1,1
admissible,0,0,0,0,0,0,1,0,0,1,1
admonition,0,0,0,1,0,1,0,0,0,0,-1
adorable,0,0,0,0,1,0,1,0,0,0,1
adoration,0,0,0,0,1,0,1,0,0,1,1
adore,0,1,0,0,1,0,1,0,0,1,1
adrift,0,1,0,1,0,1,0,1,0,0,-1
adultery,0,0,1,0,0,1,0,1,0,0,-1
advance,0,1,0,1,1,0,1,0,1,0,1
advent,0,1,0,0,1,0,1,0,0,1,1
adventure,0,1,0,0,0,0,1,0,0,0,1
adversary,1,0,0,0,0,1,0,0,0,0,-1
adverse,1,0,1,1,0,1,0,1,0,0,-1
adversity,1,0,0,1,0,1,0,1,0,0,-1
advisable,0,0,0,0,0,0,1,0,0,1,1
advise,0,0,0,0,0,0,1,0,0,1,1
adviser,0,0,0,0,0,0,1,0,0,1,1
advocacy,1,1,0,0,1,0,1,0,0,1,1
aesthetics,0,0,0,0,1,0,1,0,0,0,1
affection,0,0,0,0,1,0,1,0,0,1,1
affirm,0,0,0,0,0,0,1,0,0,1,1
affirmatively,0,0,0,0,0,0,1,0,0,1,1
afflict,0,0,0,1,0,1,0,1,0,0,-1
affliction,0,0,1,1,0,1,0,1,0,0,-1
affluence,0,0,0,0,1,0,1,0,0,0,1
affront,1,0,1,1,0,1,0,1,1,0,-1
afraid,0,0,0,1,0,1,0,0,0,0,-1
aftermath,1,0,1,1,0,1,0,1,0,0,-1
aga,0,0,0,1,0,0,1,0,0,1,1
aggravated,1,0,0,0,0,1,0,0,0,0,-1
aggravating,1,0,0,0,0,1,0,1,0,0,-1
aggravation,1,0,1,0,0,1,0,0,0,0,-1
aggression,1,0,0,1,0,1,0,0,0,0,-1
aggressive,1,0,0,1,0,1,0,0,0,0,-1
aggressor,1,0,0,1,0,1,0,0,0,0,-1
aghast,0,0,1,1,0,1,0,0,1,0,-1
agitated,1,0,0,0,0,1,0,0,0,0,-1
agitation,1,0,0,0,0,1,0,0,0,0,-1
agonizing,0,0,0,1,0,1,0,0,0,0,-1
agony,1,0,0,1,0,1,0,1,0,0,-1
agreeable,0,0,0,0,0,0,1,0,0,1,1
agreed,0,0,0,0,0,0,1,0,0,1,1
agreeing,0,0,0,0,0,0,1,0,0,1,1
agreement,0,0,0,0,0,0,1,0,0,1,1
ail,0,0,0,0,0,1,0,1,0,0,-1
ailing,0,0,0,1,0,1,0,1,0,0,-1
airs,0,0,1,0,0,1,0,0,0,0,-1
alarm,0,0,0,1,0,1,0,0,1,0,-1
alarming,0,0,0,1,0,1,0,0,1,0,-1
alcoholism,1,0,1,1,0,1,0,1,0,0,-1
alertness,0,1,0,1,0,0,1,0,1,0,1
alerts,0,1,0,1,0,0,0,0,1,0,0
alien,0,0,1,1,0,1,0,0,0,0,-1
alienate,1,0,1,0,0,1,0,0,0,0,-1
alienated,0,0,0,0,0,1,0,1,0,0,-1
alienation,1,0,1,1,0,1,0,1,0,0,-1
alive,0,1,0,0,1,0,1,0,0,1,1
allegation,1,0,0,0,0,1,0,0,0,0,-1
allegiance,0,0,0,0,0,0,1,0,0,1,1
allied,0,0,0,0,0,0,1,0,0,1,1
allure,0,1,0,0,1,0,1,0,1,0,1
ally,0,0,0,0,0,0,1,0,0,1,1
aloha,0,1,0,0,1,0,1,0,0,0,1
altercation,1,0,0,0,0,1,0,0,0,0,-1
amazingly,0,0,0,0,1,0,1,0,1,0,1
ambassador,0,0,0,0,0,0,1,0,0,1,1
ambition,0,1,0,0,1,0,1,0,0,1,1
