term_str,syu_sentiment
abandon,-0.75
abandoned,-0.5
abandoner,-0.25
abandonment,-0.25
abandons,-1.0
abducted,-1.0
abduction,-0.5
abductions,-1.0
aberrant,-0.6
aberration,-0.8
abhor,-0.5
abhorred,-1.0
abhorrent,-0.5
abhors,-1.0
abilities,0.6
ability,0.5
abject,-1.0
ablaze,-0.25
abnormal,-0.5
aboard,0.25
abolish,-0.5
abominable,-0.5
abominably,-1.0
abominate,-1.0
abomination,-0.5
abort,-0.5
aborted,-0.8
abortion,-0.8
abortive,-1.0
aborts,-0.6
abound,0.25
abounds,0.25
abrasion,-0.6
abrasive,-0.5
abrogate,-0.4
abrupt,-0.25
abruptly,-0.25
abscess,-0.5
abscond,-1.0
absence,-0.5
absent,-0.6
absentee,-0.75
absenteeism,-1.0
absentees,-0.6
absentminded,-0.8
absolute,-0.25
absolution,0.1
absolve,1.0
absolved,1.0
absolves,1.0
absolving,1.0
absorbed,0.5
abstinence,-0.25
abstractedly,-0.25
abstraction,-0.25
absurd,-0.75
absurdity,-0.5
absurdly,-0.8
absurdness,-0.8
abundance,0.6
abundant,0.5
abuse,-1.0
abused,-0.75
abuses,-0.5
abusive,-0.5
abysmal,-0.5
abysmally,-1.0
abyss,-0.75
academic,0.4
academy,0.4
accentuated,0.25
accept,1.0
acceptable,0.5
acceptance,0.8
accepted,0.8
accepting,0.6
accepts,0.8
accessable,0.8
accessible,0.75
accident,-0.5
accidental,-1.0
accidentally,-0.6
accidents,-0.6
acclaim,0.6
acclaimed,0.6
acclamation,0.6
accolade,0.5
accolades,0.6
accommodation,0.4
accommodative,0.8
accompaniment,0.6
accompany,0.4
accompanying,0.25
accomplish,0.75
accomplished,0.75
accomplishes,0.8
accomplishment,0.5
accomplishments,1.0
accord,0.8
accordingly,0.25
accost,-0.8
accosted,-0.8
accountability,0.8
accountable,0.8
accountant,-0.25
accredited,0.8
accumulate,0.25
accurate,0.5
accurately,0.6
accursed,-0.5
accusation,-1.0
accusations,-0.75
accusative,-1.0
accuse,-0.5
accused,-0.5
accuser,-1.0
accuses,-0.5
accusing,-1.0
accusingly,-1.0
ace,0.8
acerbate,-1.0
ache,-0.75
ached,-1.0
aches,-0.5
achey,-0.8
achievable,0.8
achieve,1.0
achievement,0.5
achievements,1.0
aching,-0.75
achy,-1.0
acid,-0.4
acing,0.25
acknowledgment,0.4
acquire,0.8
acquired,0.8
acquiring,0.8
acquit,-0.25
acquits,-0.25
acquitted,-0.25
acquitting,-0.25
acrid,-0.5
acridly,-1.0
acridness,-1.0
acrimonious,-0.5
acrimoniously,-1.0
acrimony,-1.0
action,0.25
actionable,0.25
active,0.25
actual,0.4
actuality,-0.25
acuity,0.6
acumen,0.5
acute,-0.25
adapt,0.8
adaptable,0.5
adaptive,0.8
addict,-1.0
addicted,-0.5
addicting,-0.8
addiction,-1.0
addicts,-1.0
additional,0.25
addled,-0.6
addresses,-0.25
adept,1.0
adequacy,0.8
adequate,0.5
adhered,0.6
adjudicate,0.4
adjunct,-0.25
adjustable,0.4
adjustments,0.4
admirable,0.5
admirably,1.0
admiration,0.75
admire,1.0
admired,0.5
admirer,0.5
admires,1.0
admiring,0.75
admiringly,1.0
admissible,0.6
admit,0.6
admits,0.6
admitted,0.6
admonish,-0.5
admonished,-0.6
admonishingly,-0.6
admonishment,-0.6
admonition,-0.5
adolescent,0.25
adopt,0.5
adopts,0.4
adorable,0.75
adorably,1.0
adoration,1.0
adore,0.75
adored,0.5
adorer,1.0
adores,0.5
adoring,1.0
adoringly,1.0
adorn,0.4
adorned,0.4
adrenaline,-0.25
adrift,-0.8
adroit,0.6
adroitly,0.6
adulate,0.25
adulation,0.25
adulatory,0.25
adulterate,-1.0
adulterated,-0.5
adulteration,-1.0
adultery,-1.0
advance,0.8
advanced,0.75
advancement,1.0
advances,0.8
advantage,0.75
advantageous,0.5
advantageously,1.0
advantages,0.75
advent,0.8
adventure,0.5
adventures,0.25
adventuresome,1.0
adventurous,0.75
adversarial,-0.6
adversaries,-0.6
adversary,-0.75
adverse,-0.5
adversity,-0.5
advisable,1.0
advise,0.8
adviser,0.6
advocacy,0.6
advocate,0.6
advocated,0.6
advocates,0.6
aesthetic,0.25
aesthetics,0.25
affability,0.8
affable,0.5
affably,0.8
affectation,-0.4
affectations,-0.4
affection,1.0
affectionate,0.5
affiliated,0.25
affinity,0.8
affirm,0.5
affirmation,0.5
affirmative,0.5
affirmatively,0.8
afflict,-0.5
afflicted,-0.5
affliction,-0.75
afflictive,-1.0
affluence,0.5
affluent,0.5
afford,0.5
affordable,0.8
affordably,0.8
affront,-0.75
affronted,-1.0
aficionado,0.8
afraid,-0.75
aftermath,-0.5
aftertaste,-0.4
ageless,0.6
aggravate,-0.5
aggravated,-0.75
aggravates,-1.0
aggravating,-0.75
aggravation,-0.5
aggression,-0.75
aggressions,-1.0
aggressive,-1.0
aggressively,-1.0
aggressiveness,-1.0
aggressor,-0.5
aggrieved,-0.5
aghast,-1.0
agile,0.75
agilely,0.8
agility,0.75
agitated,-0.5
agitation,-1.0
aglow,0.8
agog,-0.25
agonies,-1.0
agonise,-1.0
agonises,-1.0
agonize,-0.5
agonized,-1.0
agonizes,-1.0
agonizing,-1.0
agonizingly,-1.0
agony,-0.5
agree,0.5
agreeable,0.75
agreeableness,1.0
agreeably,1.0
agreed,0.5
agreeing,1.0
agreement,0.5
agrees,0.5
aground,-0.5
ahead,0.8
aid,1.0
aiding,0.1
ail,-0.5
ailing,-0.5
ailment,-1.0
aimless,-0.5
alarm,-0.75
alarmed,-0.75
alarming,-0.75
alarmingly,-0.6
alarmist,-0.6
alarmists,-0.6
alas,-0.4
alcoholism,-1.0
alert,-0.25
alertness,0.6
alien,-0.6
alienate,-0.5
alienated,-0.75
alienating,-1.0
alienation,-0.75
alimentation,0.6
alimony,-0.4
alive,0.5
allay,0.6
allegation,-0.5
allegations,-0.8
allege,-0.5
alleges,-0.6
allegiance,0.5
allergic,-0.5
allergies,-0.5
allergy,-1.0
alleviate,1.0
alleviation,1.0
allied,1.0
allies,0.25
allow,0.25
allowable,0.8
allure,0.8
alluring,0.5
alluringly,0.8
ally,0.8
almighty,1.0
aloha,0.4
alone,-0.6
aloof,-0.5
alter,-0.25
altercation,-0.75
altruistic,1.0
altruistically,1.0
amaze,0.5
amazed,0.5
amazement,0.8
amazes,0.5
amazing,0.5
amazingly,0.5
ambiguous,-0.5
ambition,0.6
ambitions,-0.25
ambitious,0.5
ambitiously,0.8
